Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by 1-digit level HHCD Household Composition"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HHCD Household Composition","One family household","Multiple family household","Non-family household","Non-classifiable","Not applicable","Total",
"Rose Bay - Vaucluse - Watsons Bay",3058,49,1124,187,516,4938,
"Woollahra",1843,19,1225,136,560,3781,
"Bellevue Hill",3693,49,1893,234,808,6678,
"Double Bay - Darling Point",2519,14,2109,271,1049,5969,
"Kensington (NSW)",2523,50,1739,228,961,5503,
"Kingsford",2985,76,2051,210,568,5889,
"Maroubra - North",2468,77,1070,103,328,4044,
"Maroubra - South",2788,49,1722,319,393,5275,
"Maroubra - West",2547,52,1223,117,357,4296,
"Randwick - North",4058,31,2664,249,854,7853,
"Randwick - South",3034,38,1966,234,717,5997,
"Coogee - Clovelly",4959,45,3033,383,1088,9507,
"Malabar - La Perouse",2402,76,1053,166,335,4033,
"Matraville - Chifley",3329,127,1155,256,302,5165,
"South Coogee",1312,30,711,131,221,2406,
"Bass Hill - Georges Hall",5036,304,1368,548,409,7664,
"Chullora",348,15,73,30,29,491,
"Condell Park",2666,196,556,260,195,3879,
"Padstow",4283,188,1440,201,324,6436,
"Revesby",4197,233,1306,196,348,6282,
"Yagoona - Birrong",4758,336,1459,417,421,7386,
"Bankstown - North",3894,177,1460,391,637,6561,
"Bankstown - South",3869,265,1432,467,580,6612,
"Greenacre - North",2962,195,921,313,300,4695,
"Greenacre - South",2700,216,599,231,257,3999,
"Panania (North) - Milperra",2887,113,762,115,173,4060,
"Panania (South) - Picnic Point",4062,168,1171,139,282,5821,
"Belmore - Belfield",4793,175,1973,484,605,8029,
"Punchbowl",4380,325,1456,455,506,7123,
"Roselands",3433,179,1094,192,407,5303,
"Lakemba",3389,154,1406,413,516,5877,
"Wiley Park",2099,107,886,243,339,3672,
"Campsie - North",2658,118,1209,204,438,4637,
"Campsie - South",1999,97,999,304,297,3690,
"Canterbury - South",2978,132,1347,321,396,5178,
"Earlwood",4584,187,1339,182,417,6714,
"Kingsgrove - North",1547,80,427,74,124,2251,
"Narwee - Beverly Hills",3332,181,1279,195,330,5318,
"Oatley - Hurstville Grove",3306,131,864,86,284,4675,
"Peakhurst - Lugarno",5106,218,1516,243,375,7458,
"Riverwood",2700,140,1526,295,365,5029,
"South Hurstville - Blakehurst",6028,326,1924,298,608,9193,
"Hurstville - Central",2895,154,1262,165,557,5037,
"Hurstville - North",2759,251,781,113,302,4206,
"Mortdale - Oatley",3757,129,1381,158,323,5747,
"Penshurst",2340,106,1139,193,251,4026,
"Kingsgrove (South) - Bardwell Park",3304,139,1010,133,290,4878,
"Kogarah",3217,80,1587,272,612,5759,
"Kogarah Bay - Carlton - Allawah",4069,160,1519,221,481,6456,
"Monterey - Brighton-le-Sands - Kyeemagh",3488,112,2028,318,559,6515,
"Rockdale - Banksia",4612,219,2232,354,777,8186,
"Sans Souci - Ramsgate",4276,132,2153,347,494,7405,
"Arncliffe - Bardwell Valley",3780,215,1570,398,605,6564,
"Bexley - North",2367,152,638,108,208,3479,
"Bexley - South",3797,196,1483,206,518,6190,
"Wolli Creek",2691,34,1901,252,551,5432,
"Concord - Mortlake - Cabarita",6346,201,2108,242,741,9638,
"Drummoyne - Rodd Point",4967,80,2141,253,777,8220,
"Five Dock - Abbotsford",5676,127,2568,270,729,9374,
"Concord West - North Strathfield",3204,98,1104,167,355,4929,
"Rhodes",3190,67,1752,218,655,5874,
"Balmain",4245,24,2273,279,887,7709,
"Lilyfield - Rozelle",3695,30,1892,210,640,6462,
"Annandale (NSW)",2339,23,1415,194,472,4447,
"Leichhardt",4632,45,2173,258,752,7858,
"Canterbury (North) - Ashbury",3163,96,1313,161,448,5177,
"Croydon Park - Enfield",4262,170,1824,243,426,6925,
"Dulwich Hill - Lewisham",4465,62,3118,371,830,8842,
"Haberfield - Summer Hill",3479,45,1719,140,508,5885,
"Homebush",5058,117,2472,413,1070,9127,
"Strathfield South",949,30,299,37,94,1416,
"Ashfield - North",2660,82,1974,156,560,5425,
"Ashfield - South",2870,85,1838,164,611,5566,
"Burwood (NSW)",3460,118,2420,336,730,7063,
"Croydon",2604,164,951,101,273,4083,
"Strathfield - East",3346,141,2178,302,713,6675,
"Strathfield - West",2213,123,517,118,227,3203,
"Chatswood (West) - Lane Cove North",5557,129,2597,281,759,9324,
"St Leonards - Naremburn",3198,35,2132,246,546,6155,
"Artarmon",2458,53,1112,138,325,4082,
"Castle Cove - Northbridge",3598,72,741,114,312,4833,
"Chatswood - East",4988,149,2160,291,1015,8606,
"Greenwich - Riverview",3428,58,1098,111,430,5125,
"Lane Cove",4281,67,1862,152,532,6901,
"Willoughby",3409,67,1027,104,342,4948,
"Asquith - Mount Colah",6055,175,1333,143,353,8065,
"Berowra - Brooklyn - Cowan",3234,80,677,71,259,4322,
"Normanhurst - Thornleigh - Westleigh",5063,163,1090,104,250,6674,
"Hornsby - East",3102,97,1755,185,438,5568,
"Hornsby - West",2775,114,836,81,240,4050,
"Wahroonga (West) - Waitara",3086,96,1224,161,351,4929,
"Gordon - Killara",6029,202,1599,179,795,8805,
"Lindfield - Roseville",6504,203,1629,191,721,9255,
"Pymble",4612,161,815,119,373,6081,
"St Ives",5855,219,1224,105,425,7823,
"Turramurra",5406,146,1420,107,536,7610,
"Wahroonga (East) - Warrawee",4828,146,955,122,370,6430,
"Cremorne - Cammeray",5068,44,3284,256,1097,9745,
"Crows Nest - Waverton",4906,29,3446,252,1070,9700,
"Neutral Bay - Kirribilli",4198,23,4097,440,1588,10342,
"North Sydney - Lavender Bay",3306,25,2691,390,1341,7753,
"Mosman - North",3694,45,1967,220,773,6694,
"Mosman - South",3829,51,1951,159,715,6709,
"Balgowlah - Clontarf - Seaforth",5546,94,1406,172,420,7634,
"Manly - Fairlight",5889,37,3452,394,1606,11382,
"Avalon - Palm Beach",3479,106,1032,254,863,5730,
"Bayview - Elanora Heights",2855,136,899,160,481,4536,
"Newport - Bilgola",3738,122,1087,150,367,5459,
"Mona Vale - Warriewood (North)",3769,107,1341,202,358,5776,
"North Narrabeen - Warriewood (South)",2820,101,635,120,148,3824,
"Beacon Hill - Narraweena",3513,200,995,118,234,5063,
"Cromer",2013,86,587,83,130,2897,
"Forestville - Killarney Heights",3364,112,827,100,197,4596,
"Freshwater - Brookvale",5728,119,2467,277,641,9224,
"Manly Vale - Allambie Heights",4402,146,1436,120,345,6444,
"Terrey Hills - Duffys Forest",944,49,204,38,71,1302,
"Belrose",2208,80,592,35,167,3085,
