"HCANP Whether has Cancer (including remission)","Has cancer (including remission)","Does not have cancer (including remission)","Not stated","Total",
"Bass Hill - Georges Hall",469,20506,2890,23855,
"Chullora",9,1335,124,1469,
"Condell Park",231,11261,1284,12773,
"Padstow",477,15558,1165,17200,
"Revesby",420,15814,1435,17664,
"Yagoona - Birrong",390,19841,2246,22484,
"Bankstown - North",240,15146,1592,16981,
"Bankstown - South",252,16141,2037,18434,
"Greenacre - North",281,12838,1523,14637,
"Greenacre - South",200,11832,1388,13416,
"Panania (North) - Milperra",340,10333,667,11340,
"Panania (South) - Picnic Point",441,14602,949,15994,
"Belmore - Belfield",456,17897,1981,20332,
"Punchbowl",360,19003,2177,21544,
"Roselands",335,13105,1139,14577,
"Lakemba",188,15165,1744,17092,
"Wiley Park",124,8943,1065,10135,
"Campsie - North",199,10780,929,11905,
"Campsie - South",132,7787,1149,9059,
"Canterbury - South",214,10818,1190,12220,
"Earlwood",513,16263,1193,17969,
"Kingsgrove - North",156,5713,391,6261,
"Narwee - Beverly Hills",345,12540,899,13791,
"Oatley - Hurstville Grove",439,11503,653,12594,
"Peakhurst - Lugarno",673,18276,1274,20220,
"Riverwood",281,10290,1032,11606,
"South Hurstville - Blakehurst",573,23103,1580,25259,
"Hurstville - Central",154,11176,712,12046,
"Hurstville - North",225,11115,770,12109,
"Mortdale - Oatley",411,13493,813,14715,
"Penshurst",196,8558,778,9528,
"Kingsgrove (South) - Bardwell Park",352,11874,746,12973,
"Kogarah",229,11687,1138,13051,
"Kogarah Bay - Carlton - Allawah",388,14715,1094,16200,
"Monterey - Brighton-le-Sands - Kyeemagh",368,12329,1202,13896,
"Rockdale - Banksia",384,17985,1482,19853,
"Sans Souci - Ramsgate",596,14775,1292,16659,
"Arncliffe - Bardwell Valley",309,14644,1621,16579,
"Bexley - North",238,9062,849,10145,
"Bexley - South",366,14406,1060,15831,
"Wolli Creek",73,9875,785,10731,
