sa2,Has heart disease (including heart attack or angina),Does not have heart disease (including heart attack or angina),Not stated
Gymea - Grays Point,709,16444,1008
Miranda - Yowie Bay,913,18447,1342
Sylvania - Taren Point,857,14396,1185
Caringbah,479,11437,941
Caringbah South,556,11701,764
Cronulla - Kurnell - Bundeena,998,21530,1854
Lilli Pilli - Port Hacking - Dolans Bay,120,3055,196
Woolooware - Burraneer,340,8110,487
Heathcote - Waterfall,410,5905,351
Illawong - Alfords Point,467,9588,498
Menai - Lucas Heights - Woronora,773,19180,977
Oyster Bay - Como - Jannali,795,20101,1167
Royal National Park,0,31,18
Sutherland - Kirrawee,975,20889,1370
Engadine,731,15671,955
Loftus - Yarrawarrah,293,6681,371
Woronora Heights,130,3215,191
Migratory - Offshore - Shipping (NSW),0,0,0
No usual address (NSW),387,7012,3980
