"sa2_name_2021","age_group","pop_2021","pop2011_as21","abs_change","growth_rate","in_wslhd_2021","in_metro_2021"
"Bega - Tathra","20_29",805,695,110,0.158273381294964,0,0
"Bega - Tathra","30_39",924,801,123,0.153558052434457,0,0
"Bega - Tathra","40_49",981,1044,-63,-0.0603448275862069,0,0
"Bega - Tathra","50_59",1228,1309,-81,-0.0618792971734148,0,0
"Bega - Tathra","60_69",1384,990,394,0.397979797979798,0,0
"Bega - Tathra","70_79",970,669,301,0.449925261584454,0,0
"Bega - Tathra","80_89",447,356,91,0.25561797752809,0,0
"Bega - Tathra","90_99",114,72,42,0.583333333333333,0,0
"Bega - Tathra","100_plus",4,0,4,NA,0,0
"Bega-Eden Hinterland","0_9",941,1017,-76,-0.0747295968534907,0,0
"Bega-Eden Hinterland","10_19",1074,1284,-210,-0.163551401869159,0,0
"Bega-Eden Hinterland","20_29",690,502,188,0.374501992031873,0,0
"Bega-Eden Hinterland","30_39",877,707,170,0.24045261669024,0,0
"Bega-Eden Hinterland","40_49",996,1354,-358,-0.264401772525849,0,0
"Bega-Eden Hinterland","50_59",1627,1844,-217,-0.117678958785249,0,0
"Bega-Eden Hinterland","60_69",2017,1314,703,0.535007610350076,0,0
"Bega-Eden Hinterland","70_79",1034,545,489,0.897247706422018,0,0
"Bega-Eden Hinterland","80_89",264,182,82,0.450549450549451,0,0
"Bega-Eden Hinterland","90_99",37,20,17,0.85,0,0
"Bega-Eden Hinterland","100_plus",0,0,0,NA,0,0
"Broulee - Tomakin","0_9",335,282,53,0.187943262411348,0,0
"Broulee - Tomakin","10_19",429,366,63,0.172131147540984,0,0
"Broulee - Tomakin","20_29",259,163,96,0.588957055214724,0,0
"Broulee - Tomakin","30_39",351,235,116,0.493617021276596,0,0
"Broulee - Tomakin","40_49",396,376,20,0.0531914893617021,0,0
"Broulee - Tomakin","50_59",526,426,100,0.234741784037559,0,0
"Broulee - Tomakin","60_69",682,451,231,0.51219512195122,0,0
"Broulee - Tomakin","70_79",487,316,171,0.541139240506329,0,0
"Broulee - Tomakin","80_89",255,187,68,0.363636363636364,0,0
"Broulee - Tomakin","90_99",65,22,43,1.95454545454545,0,0
"Broulee - Tomakin","100_plus",0,0,0,NA,0,0
"Deua - Wadbilliga","0_9",0,12,-12,-1,0,0
"Deua - Wadbilliga","10_19",0,3,-3,-1,0,0
"Deua - Wadbilliga","20_29",0,4,-4,-1,0,0
"Deua - Wadbilliga","30_39",0,0,0,NA,0,0
"Deua - Wadbilliga","40_49",6,3,3,1,0,0
"Deua - Wadbilliga","50_59",11,16,-5,-0.3125,0,0
"Deua - Wadbilliga","60_69",12,15,-3,-0.2,0,0
"Deua - Wadbilliga","70_79",10,0,10,NA,0,0
"Deua - Wadbilliga","80_89",0,0,0,NA,0,0
"Deua - Wadbilliga","90_99",0,0,0,NA,0,0
"Deua - Wadbilliga","100_plus",0,0,0,NA,0,0
"Eden","0_9",353,358,-5,-0.0139664804469274,0,0
"Eden","10_19",353,415,-62,-0.149397590361446,0,0
"Eden","20_29",247,270,-23,-0.0851851851851852,0,0
"Eden","30_39",297,300,-3,-0.01,0,0
"Eden","40_49",336,373,-37,-0.0991957104557641,0,0
