sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english
Oberon,0,0,4834,492,533,466,504,545,664,1025,970,1209,1635,3667,528,3940,256,0.10177906495655771,0.11026065370293753,0.0964004964832437,0.10426148117501034,0.11274306992139016,0.13736036408771204,0.21203971865949525,0.20066197765825403,0.2501034340091022,0.3382292097641705,0.758585022755482,0.10922631361191559,0.8150599917252793,0.05295821266032271
Bathurst - South,0,0,10752,909,1004,2021,1529,1114,1186,1913,3550,2300,2992,8566,1543,8513,925,0.08454241071428571,0.09337797619047619,0.18796502976190477,0.1422061011904762,0.10360863095238096,0.11030505952380952,0.17792038690476192,0.33017113095238093,0.21391369047619047,0.27827380952380953,0.7966889880952381,0.14350818452380953,0.7917596726190477,0.08603050595238096
Bathurst - West,0,0,14313,1976,2055,1697,1920,1742,1737,4031,3617,3479,3188,12372,1294,13002,683,0.13805631244323344,0.14357577027876756,0.11856354363166352,0.1341437853699434,0.12170753860127158,0.12135820582687068,0.28163208272200096,0.2527073290016069,0.24306574442814224,0.2227345769580102,0.8643890169775729,0.09040732201495144,0.9084049465520855,0.04771885698316216
Condobolin,0,0,6372,909,767,628,761,683,781,1676,1389,1464,1844,5242,296,5383,222,0.1426553672316384,0.12037037037037036,0.09855618330194602,0.11942875078468299,0.10718769617074701,0.12256748273697426,0.2630257376020088,0.217984934086629,0.2297551789077213,0.2893910860012555,0.822661644695543,0.04645323289391086,0.8447897049591965,0.03483992467043315
Cowra,0,0,9273,1119,1087,1022,914,939,1162,2206,1936,2101,3041,7958,653,8245,353,0.12067292138466516,0.11722204248894641,0.11021244473201769,0.0985657284589669,0.10126172759624717,0.12531003990078723,0.23789496387361156,0.20877817319098457,0.2265717674970344,0.32794133505877276,0.8581904453790575,0.07041949746576082,0.889140515475035,0.038067507818397496
Cowra Surrounds,0,0,5716,548,682,491,486,629,872,1230,977,1501,2012,4680,375,4982,134,0.09587123862841147,0.11931420573827851,0.08589923023093073,0.08502449265220434,0.11004198740377887,0.15255423372988103,0.21518544436669,0.17092372288313507,0.2625962211336599,0.35199440167949614,0.8187543736878936,0.06560531840447865,0.8715885234429671,0.02344296710986704
Forbes,0,0,10020,1254,1287,1041,1073,1042,1333,2541,2114,2375,2983,8595,425,8907,201,0.1251497005988024,0.1284431137724551,0.10389221556886227,0.10708582834331337,0.10399201596806387,0.13303393213572853,0.25359281437125747,0.21097804391217564,0.2370259481037924,0.29770459081836326,0.8577844311377245,0.04241516966067864,0.8889221556886228,0.020059880239520957
Grenfell,0,0,3597,344,402,267,291,399,526,746,558,925,1367,3082,189,3287,47,0.09563525159855435,0.11175979983319433,0.07422852376980818,0.08090075062552127,0.11092577147623019,0.1462329719210453,0.2073950514317487,0.15512927439532945,0.2571587433972755,0.380038921323325,0.8568251320544898,0.05254378648874062,0.9138170697803726,0.013066444259104809
Parkes (NSW),0,0,10919,1430,1491,1324,1250,1223,1318,2921,2574,2541,2876,9472,664,9779,407,0.13096437402692554,0.13655096620569648,0.12125652532283177,0.11447934792563422,0.11200659401044051,0.12070702445278872,0.267515340232622,0.23573587324846598,0.23271361846322924,0.2633940837072992,0.8674787068412858,0.06081142961809689,0.8955948346918216,0.0372744756845865
Parkes Surrounds,0,0,3262,424,426,259,340,340,470,850,599,810,1001,2782,153,2875,62,0.12998160637645617,0.13059472716125076,0.07939914163090128,0.10423053341508277,0.10423053341508277,0.14408338442673208,0.26057633353770693,0.18362967504598407,0.24831391784181484,0.30686695278969955,0.8528510116492949,0.046903740036787246,0.881361128142244,0.01900674432863274
