"TENLLD Tenure and Landlord Type","Owned outright","Owned with a mortgage","Rented: Real estate agent","Rented: State or territory housing authority","Rented: Community housing provider","Rented: Person not in same household","Rented: Other landlord type","Rented: Landlord type not stated","Other tenure type","Tenure type not stated","Tenure type not applicable","Total",
"Deniliquin Surrounds",1279,655,129,6,21,186,94,7,204,277,685,3539,
"Moama",1179,834,349,14,23,101,57,3,79,174,380,3194,
"Tocumwal - Finley - Jerilderie",1808,1056,357,17,34,239,91,11,136,452,632,4838,
"Armidale",2846,2382,2287,310,200,463,103,14,171,583,1099,10466,
"Armidale Surrounds - North",752,392,176,19,3,117,57,3,95,242,356,2203,
"Armidale Surrounds - South",978,806,211,20,8,119,35,0,93,144,274,2685,
"Walcha",604,275,89,16,14,92,37,0,103,133,343,1705,
"Glen Innes",1701,890,530,42,55,223,46,9,110,399,597,4610,
"Inverell",1659,1298,964,126,108,247,78,26,70,468,425,5480,
"Inverell Surrounds - East",898,492,84,20,21,132,46,0,122,255,356,2419,
"Inverell Surrounds - West",1157,527,138,7,11,156,51,7,125,225,387,2788,
"Tenterfield",1608,605,253,42,41,163,36,9,128,337,737,3968,
"Moree",881,706,619,173,53,164,100,12,59,605,536,3914,
"Moree Surrounds",565,317,70,42,61,118,119,11,236,563,457,2551,
"Narrabri",886,822,450,133,61,156,76,12,49,232,395,3268,
"Narrabri Surrounds",612,414,78,37,20,159,86,3,135,274,268,2097,
"Gunnedah",1148,1206,764,113,66,190,44,9,75,372,430,4413,
"Gunnedah Surrounds",623,447,149,0,5,130,62,0,119,197,319,2062,
"Quirindi",1276,710,298,37,67,205,81,3,128,413,470,3694,
"Tamworth - East",2677,2481,1951,265,85,510,61,37,97,590,676,9434,
"Tamworth - North",1892,1794,1781,185,107,340,71,24,192,477,574,7431,
"Tamworth - West",430,531,543,182,44,114,21,7,35,291,250,2447,
"Tamworth Surrounds",3001,2597,594,11,11,398,101,11,241,494,864,8329,
"Belmont - Bennetts Green",2716,2449,918,274,49,266,36,13,147,293,374,7532,
"Belmont South - Blacksmiths",990,638,408,170,10,119,22,0,24,128,230,2746,
"Charlestown - Dudley",3361,3645,1577,391,43,454,34,10,82,324,556,10482,
"Glendale - Cardiff - Hillsborough",3058,3820,1309,223,113,459,46,6,116,273,407,9842,
"Mount Hutton - Windale",882,1044,442,851,102,139,21,12,126,260,178,4053,
"Redhead",782,398,108,16,0,39,29,0,31,78,48,1531,
"Swansea - Caves Beach",2211,1571,691,161,38,161,10,11,111,199,775,5943,
