"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"Banksmeadow",196,50,28,3,5,73,81,59,508,
"Botany",4444,1808,737,126,104,2625,625,2482,12960,
"Pagewood - Hillsdale - Daceyville",4069,2100,856,240,194,4104,805,2403,14762,
"Port Botany Industrial",0,0,0,0,0,0,0,0,6,
"Sydney Airport",11,3,0,0,0,4,4,0,19,
"Eastlakes",2143,1299,441,142,107,2993,427,1395,8941,
"Mascot",7190,3568,1512,407,354,4857,1147,2535,21573,
"Petersham - Stanmore",7679,3085,1139,322,208,4036,950,2472,19898,
"Sydenham - Tempe - St Peters",3198,1213,474,123,79,1670,263,1251,8278,
"Marrickville - North",4401,1756,648,181,133,2915,536,1742,12317,
"Marrickville - South",4748,2080,799,228,153,3733,734,1800,14283,
"Darlinghurst",4864,1537,602,218,112,1932,795,559,10615,
"Erskineville - Alexandria",9967,2508,952,303,143,2394,782,2084,19126,
"Glebe - Forest Lodge",7523,2872,1034,390,231,4997,1215,1999,20262,
"Potts Point - Woolloomooloo",8048,2348,855,396,202,3760,1807,770,18187,
"Surry Hills",7114,2141,847,327,175,3165,1187,877,15828,
"Camperdown - Darlington",3078,1537,596,127,222,1755,400,625,8332,
"Chippendale",2542,1250,513,204,232,2127,656,278,7803,
"Newtown (NSW)",6253,2351,876,232,180,2697,656,1417,14667,
"Pyrmont",4584,1857,765,240,171,2893,847,1298,12658,
"Redfern",5072,1900,760,286,200,3227,1063,1162,13670,
"Rosebery - Beaconsfield",5013,1746,759,173,128,2404,645,1419,12290,
"Sydney (North) - Millers Point",3200,1207,437,162,77,1883,612,432,8004,
"Sydney (South) - Haymarket",4923,4147,1613,418,540,5742,1563,984,19935,
"Ultimo",2003,1416,541,197,231,2032,511,485,7410,
"Waterloo",6165,2055,880,358,242,4027,1380,1270,16379,
"Zetland",5349,1647,877,286,215,2622,607,1023,12622,
"Bondi - Tamarama - Bronte",7074,2818,945,242,169,3861,1062,2887,19055,
"Bondi Beach - North Bondi",8124,3086,1054,287,194,3736,1141,3090,20705,
"Bondi Junction - Waverly",6228,2425,836,217,150,4001,1184,2685,17720,
"Centennial Park",0,0,0,0,0,0,0,0,0,
"Dover Heights",3298,1824,520,114,104,2717,385,2153,11122,
"Paddington - Moore Park",6229,2076,667,205,133,2915,665,1910,14793,
"Rose Bay - Vaucluse - Watsons Bay",3289,1785,457,116,84,3543,605,2047,11924,
"Woollahra",2535,1056,274,78,47,1955,359,1151,7454,
"Bellevue Hill",4639,2262,640,126,117,3724,619,2301,14429,
"Double Bay - Darling Point",3637,1345,448,126,69,2699,509,1125,9958,
"Kensington (NSW)",3529,1850,653,179,207,3372,598,1423,11809,
"Kingsford",3738,2242,732,224,220,4021,565,1870,13605,
"Maroubra - North",2929,1445,436,109,103,2690,514,1565,9790,
"Maroubra - South",3012,1562,588,143,124,3189,609,1852,11084,
"Maroubra - West",3001,1523,557,130,110,2708,308,1508,9846,
"Randwick - North",6192,2240,794,171,127,3235,847,2596,16206,
"Randwick - South",4643,1854,676,151,145,2908,685,1669,12735,
"Coogee - Clovelly",8052,2904,980,218,179,3481,771,2929,19521,
