sa2,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
Tenterfield,857,800,440,698,784,1188,1079,630,280,43,0
Moree,1305,1091,1135,1144,1083,1008,824,513,249,42,0
Moree Region,971,801,590,742,845,751,538,236,70,11,0
Narrabri,1005,945,783,869,892,934,704,482,263,47,0
Narrabri Region,739,627,471,559,702,709,575,297,125,14,0
Gunnedah,1222,1200,1036,937,1062,1073,919,778,434,73,0
Gunnedah Region,644,688,355,486,646,698,565,305,120,11,0
Quirindi,952,946,676,758,975,1120,1017,657,303,65,3
Tamworth - East,2690,2963,2334,2326,2587,2573,2109,1496,722,91,0
Tamworth - North,1675,1707,1736,1562,1705,1754,1405,1030,755,175,7
Tamworth - West,1097,840,849,685,626,522,394,225,74,6,0
Tamworth Region,2299,2333,1308,1834,2424,2757,2367,1352,578,87,0
Belmont - Bennetts Green,2019,2392,1719,1898,2412,2321,2012,1400,827,146,0
Belmont South - Blacksmiths,593,742,551,569,764,828,751,487,315,29,0
Charlestown - Dudley,2957,2995,2976,3017,3210,3001,2366,1832,1086,120,0
Glendale - Cardiff - Hillsborough,2956,3042,2897,3072,3031,3139,2495,1322,867,143,3
Mount Hutton - Windale,1163,1273,994,1022,1201,1070,869,606,378,80,6
Redhead,404,437,285,350,484,525,417,320,200,40,0
Swansea - Caves Beach,1082,1376,954,1060,1390,1582,1557,1064,580,92,0
Valentine - Eleebana,1352,1797,1016,1107,1844,1988,1592,804,401,62,3
Warners Bay - Boolaroo,1537,1628,1336,1487,1759,1686,1595,1036,590,94,3
Bolton Point - Teralba,996,1275,882,967,1133,1123,1059,656,465,131,7
Bonnells Bay - Silverwater,988,1051,812,834,1054,1072,1059,715,317,30,0
Edgeworth - Cameron Park,1765,1574,1426,1736,1491,1336,1053,559,416,67,0
Morisset - Cooranbong,1426,1885,1416,1289,1778,1867,1678,1297,972,230,3
Toronto - Awaba,1402,1703,1462,1274,1593,1889,1869,1150,758,161,8
Wangi Wangi - Rathmines,927,1059,859,893,1095,1430,1343,739,326,38,0
West Wallsend - Barnsley - Killingworth,862,968,772,806,932,938,520,230,101,12,0
Adamstown - Kotara,1976,1768,1849,2106,2153,1735,1491,1208,674,84,0
Beresfield - Hexham,1094,1155,1007,1022,1078,1061,1033,616,270,18,3
Hamilton - Broadmeadow,1315,1188,1931,1568,1655,1595,1132,719,537,96,0
Lambton - New Lambton,2237,2034,2051,2176,2431,2055,1494,1012,794,115,0
Maryland - Fletcher - Minmi,1810,1861,1319,1700,1779,1413,863,353,99,11,0
Mayfield - Warabrook,1643,1458,2501,2163,1960,1874,1270,862,735,166,8
Merewether - The Junction,1488,1492,2317,1730,1878,1843,1247,786,542,73,0
Newcastle - Cooks Hill,711,746,2863,1555,1159,1348,973,477,273,39,0
Newcastle Port - Kooragang,0,4,0,0,7,0,6,0,0,0,0
Shortland - Jesmond,1011,1371,2781,1164,921,822,740,618,547,110,3
Stockton - Fullerton Cove,572,563,587,624,849,1028,937,572,323,62,0
Wallsend - Elermore Vale,2236,2403,2478,2415,2359,2441,2163,1379,954,200,0
Waratah - North Lambton,1335,1254,2239,1594,1385,1342,935,766,788,226,10
Wickham - Carrington - Tighes Hill,869,642,1583,1375,1019,955,644,355,218,17,0
Ballina,1548,1713,1472,1531,1931,2307,2209,1722,1448,276,6
Ballina Region,1880,2200,1078,1572,2231,2510,2120,1220,738,134,0
Bangalow,713,704,313,651,941,1017,597,225,125,41,0
Brunswick Heads - Ocean Shores,944,1003,589,963,1186,1337,888,493,304,34,0
Byron Bay,855,872,1185,1289,1309,1494,949,347,296,59,3
Evans Head,575,590,385,492,606,805,726,514,253,32,0
Lennox Head - Skennars Head,980,1092,595,888,1199,1180,794,405,188,17,0
Mullumbimby,947,1007,389,788,1227,1430,880,391,226,49,0
Casino,1713,1631,1209,1241,1374,1504,1375,1030,620,128,3
Casino Region,879,1054,478,688,1019,1173,906,468,203,26,0
Goonellabah,1653,1716,1592,1464,1564,1731,1377,911,571,133,0
Kyogle,929,1015,580,688,1013,1388,991,534,307,59,3
Lismore,1903,2153,2242,1870,2126,2129,1355,961,688,139,3
Lismore Region,1849,2242,902,1546,2411,2929,1859,706,288,35,0
Kingscliff - Fingal Head,1262,1373,908,1167,1614,1579,1375,1000,564,77,3
Murwillumbah,1119,1076,752,842,1091,1073,929,654,554,147,3
Murwillumbah Region,1136,1316,662,918,1486,2013,1207,582,199,26,0
Pottsville,1765,1678,933,1611,1803,1742,1313,865,376,62,4
Tweed Heads,1795,1845,1866,1845,2107,2527,2533,2035,1430,213,3
Tweed Heads - South,2710,3297,2202,2411,3144,3164,3497,3180,2094,353,3
Griffith (NSW),2638,2514,2483,2261,2345,2111,1494,1182,757,118,0
Griffith Region,1957,1829,1283,1544,1934,1821,1206,762,333,26,0
Leeton,1338,1925,1004,1065,1276,1245,962,701,326,47,3
Narrandera,880,815,510,640,756,903,766,496,303,59,0
Tumbarumba,407,414,282,385,463,526,458,300,132,23,0
Tumut,873,858,687,773,804,797,682,463,295,72,0
Tumut Region,600,578,350,475,676,724,635,405,192,23,0
Cootamundra,911,969,590,659,931,1060,1082,766,413,56,3
Gundagai,512,480,293,377,478,514,461,295,154,21,5
Junee,738,731,755,760,799,815,661,356,175,18,0
Temora,807,845,495,579,851,908,844,596,323,67,0
Wagga Wagga - East,2292,2298,1948,1885,2088,2174,1702,969,471,76,3
Wagga Wagga - North,400,632,834,362,408,328,199,180,127,21,0
Wagga Wagga - South,3226,3193,3042,2758,2695,2404,1602,1102,703,146,3
Wagga Wagga - West,1463,1406,2465,1481,1249,1374,989,730,513,106,4
Wagga Wagga Region,2046,2174,1399,1524,1941,1965,1537,888,430,68,3
Berry - Kangaroo Valley,765,929,528,679,923,1372,1482,1029,496,81,0
Callala Bay - Currarong,420,497,210,330,483,496,553,371,162,19,0
Culburra Beach,414,505,378,384,562,761,782,593,354,55,0
Ettrema - Sassafras - Budawang,3,0,0,0,3,18,6,0,0,0,0
Huskisson - Vincentia,335,385,297,343,435,633,660,437,266,33,3
North Nowra - Bomaderry,1881,2155,1602,1540,1999,2181,1883,1239,651,104,3
Nowra,2546,2472,2425,2198,2362,2150,1856,1232,711,153,0
St Georges Basin - Erowal Bay,1560,1572,954,1250,1539,1554,1883,1461,715,115,0
Sussex Inlet - Berrara,284,391,211,265,428,573,870,665,383,56,0
Tomerong - Wandandian - Woollamia,339,521,201,338,488,595,528,209,67,3,0
Ulladulla,1456,1789,952,1197,1700,2048,2167,1740,953,145,3
Ulladulla Region,479,480,247,364,607,876,890,485,183,23,0
Bowral,1288,1532,703,897,1581,1606,1986,1520,834,191,6
Hill Top - Colo Vale,915,897,625,704,908,749,527,258,83,8,0
Mittagong,939,1251,704,764,1048,1162,1060,751,361,61,3
Moss Vale - Berrima,1151,1224,889,940,1208,1149,1190,693,411,75,0
Robertson - Fitzroy Falls,449,406,226,349,490,515,587,270,83,8,0
Southern Highlands,683,728,345,521,880,929,1155,619,242,43,6
Baulkham Hills (East),3302,2498,2297,3623,3176,2330,2255,1216,532,119,3
Baulkham Hills (West) - Bella Vista,2317,3059,2319,2050,2975,2862,1999,763,239,33,0
Castle Hill,3485,3764,3356,3612,3908,3917,3218,1432,681,82,0
Cherrybrook,2510,4064,2683,2094,3912,3664,2292,1261,1401,468,14
Glenhaven,654,895,651,483,880,967,662,377,230,35,0
Kellyville,4028,3913,2553,3423,4000,3019,1821,725,250,24,0
West Pennant Hills,1240,1966,1652,1063,1843,2373,1547,452,250,55,4
Dural - Kenthurst - Wisemans Ferry,2393,3280,2074,1910,3212,2938,2492,1220,597,118,4
Galston - Laughtondale,632,721,506,490,753,765,623,323,233,49,0
Bilpin - Colo - St Albans,302,380,165,298,457,374,410,190,60,9,0
Kurrajong Heights - Ebenezer,2826,3539,2275,2495,3548,3219,2207,905,355,61,0
Pitt Town - McGraths Hill,1257,1324,1095,1136,1375,1227,958,441,169,31,0
Rouse Hill - Beaumont Hills,3435,2911,1760,3031,3106,1969,1333,458,145,13,0
Blacktown (East) - Kings Park,2337,1605,3033,2999,1831,1511,1108,657,401,51,4
Blacktown (North) - Marayong,2381,2279,2521,2513,2050,2120,1536,865,531,78,0
Blacktown (South),4007,3636,3795,4030,3640,3047,2080,1528,752,105,3
Doonside - Woodcroft,2708,3143,2862,2652,2853,2661,1608,667,317,40,0
Lalor Park - Kings Langley,3408,3048,3057,3594,3368,3292,2219,1213,672,102,3
Seven Hills - Toongabbie,3176,2877,3079,3541,3040,2866,2299,1090,486,54,0
Glenwood,2694,2530,1854,2618,2613,1663,918,326,102,14,0
Parklea - Kellyville Ridge,4699,2686,3209,5337,3207,1768,962,399,126,7,0
Quakers Hill - Acacia Gardens,4423,3873,3725,4786,3819,2851,1507,550,234,41,0
Riverstone - Marsden Park,1492,1616,1492,1507,1579,1460,1174,622,268,25,0
Bidwill - Hebersham - Emerton,3388,3389,2526,2220,2348,2026,1772,739,171,18,0
Glendenning Dean Park,1465,1305,1189,1447,1209,809,391,147,128,40,0
Hassall Grove - Plumpton,3287,3597,2862,2815,3102,2307,999,384,212,33,0
Lethbridge Park - Tregear,2894,2856,2240,2026,2007,1535,1540,735,193,17,0
Mount Druitt - Whalan,3918,3315,3282,3192,2853,2201,1681,912,341,30,0
Prospect Reservoir,0,4,9,0,3,0,4,4,0,0,0
Rooty Hill - Minchinbury,2760,3170,2747,2700,2857,2480,1580,675,508,149,0
Banksmeadow,0,0,0,0,0,4,9,0,0,0,0
Botany,1398,1024,932,1522,1416,1013,737,495,292,59,0
Mascot - Eastlakes,2356,2132,3278,3351,2761,2249,1791,1256,613,73,0
Pagewood - Hillsdale - Daceyville,1271,1214,1499,1506,1518,1293,1100,679,414,93,0
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,0,0,0,0,3,0,0,0,0,0,0
Marrickville,2784,1945,4098,4821,3848,2867,1933,1466,704,141,5
Petersham - Stanmore,2018,1287,3656,4318,3057,1932,1335,786,371,43,0
Sydenham - Tempe - St Peters,829,516,1203,1576,1185,880,534,301,159,10,0
Darlinghurst,327,235,2876,2841,1571,1053,740,261,132,17,0
Erskineville - Alexandria,1202,579,3246,4235,2327,1295,636,274,90,13,0
Glebe - Forest Lodge,1135,1125,4365,3639,2068,1888,1407,615,307,37,0
Newtown - Camperdown - Darlington,1555,1468,6698,5087,3081,1866,1040,491,213,20,0
Potts Point - Woolloomooloo,625,536,4341,4694,2725,2128,1581,785,463,141,12
Pyrmont - Ultimo,1128,1031,6652,4749,2004,1536,1035,422,157,13,0
Redfern - Chippendale,864,594,4963,3754,2378,1687,1124,804,357,36,0
Surry Hills,617,433,4425,4396,2289,1418,817,499,342,100,3
Sydney - Haymarket - The Rocks,787,1286,9500,5215,2064,1797,1260,570,244,49,0
Waterloo - Beaconsfield,1539,1483,5714,4689,2634,1983,1508,1034,433,62,0
Bondi - Tamarama - Bronte,1957,1305,3244,4273,2584,1748,1338,829,507,104,0
Bondi Beach - North Bondi,2208,1150,4068,5310,2666,1611,1180,641,405,79,0
Bondi Junction - Waverly,1793,1198,2665,3124,2196,1621,1353,927,769,200,0
Centennial Park,0,0,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,2327,2268,3676,4116,3081,2783,2712,1524,1126,300,9
Dover Heights,1347,1162,1320,1758,1478,1274,1009,564,431,79,3
Paddington - Moore Park,1346,791,2878,3371,2085,1423,1392,618,286,48,7
Rose Bay - Vaucluse - Watsons Bay,1541,1781,1212,1410,1687,1515,1286,678,486,112,0
Woollahra,755,519,1024,1200,1012,813,856,523,362,124,0
Coogee - Clovelly,2797,1851,4004,5135,3571,2554,1838,1100,694,128,0
Kensington - Kingsford,2264,3043,8718,3873,2941,2188,1705,1215,806,125,0
Malabar - La Perouse - Chifley,2416,2556,2502,2684,3324,2854,2279,1386,951,164,5
Maroubra,3372,2995,5087,4842,3997,3403,2597,1870,1204,217,5
Randwick,3100,2035,5617,5831,3863,2809,1977,1214,995,272,13
Bankstown,5321,3790,5195,5006,3911,3365,2023,1293,786,131,3
Bass Hill - Georges Hall,2891,2798,2450,2577,2578,2341,2202,1243,804,185,5
Chullora,0,0,0,0,0,0,0,0,0,0,0
Condell Park,1618,1500,1412,1366,1276,1204,884,555,315,62,0
Greenacre - Mount Lewis,4020,3989,3362,2991,3109,2710,1903,1236,849,136,4
