Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"West Wallsend - Barnsley - Killingworth",0,3,7,60,353,753,983,266,34,105,19,168,2744,
"Adamstown - Kotara",0,6,14,98,1017,2161,2021,568,95,198,44,503,6731,
"Beresfield - Hexham",0,0,15,118,507,1083,1214,215,28,102,45,281,3617,
"Hamilton - Broadmeadow",0,3,7,94,1239,2020,1308,283,50,183,71,1007,6272,
"Lambton - New Lambton",0,0,17,126,1336,2537,1888,478,80,253,73,601,7393,
"Maryland - Fletcher - Minmi",0,0,19,82,557,1606,1977,848,71,203,35,301,5687,
"Mayfield - Warabrook",0,3,18,159,1461,2421,1674,307,46,194,79,737,7089,
"Merewether - The Junction",0,0,3,74,1132,1942,1489,576,102,207,49,689,6278,
"Newcastle - Cooks Hill",0,7,13,145,2080,2182,1162,202,51,238,61,1726,7856,
"Newcastle Port - Kooragang",0,0,0,0,0,0,8,0,0,0,0,8,17,
"Shortland - Jesmond",4,14,40,168,1021,1511,1020,158,75,148,85,593,4847,
"Stockton - Fullerton Cove",0,0,3,50,442,1398,1075,401,34,95,40,515,4057,
"Wallsend - Elermore Vale",0,7,40,199,1419,2918,2489,624,100,282,92,735,8901,
"Waratah - North Lambton",5,3,18,138,1135,1830,1337,218,48,169,92,569,5560,
"Wickham - Carrington - Tighes Hill",0,7,6,96,1069,1531,941,104,20,143,36,590,4532,
"Ballina",0,5,21,141,1317,2947,2447,763,79,172,165,1281,9360,
"Ballina Surrounds",3,8,18,125,861,1934,2235,1130,189,216,107,763,7590,
"Bangalow",4,3,11,65,452,620,638,278,72,91,38,567,2830,
