sa2,Couple family with no children,Couple family with children,One parent family,Other family,Not applicable
Penrith,1752,1334,1088,140,4553
Warragamba - Silverdale,556,916,199,13,436
Cranebrook - Castlereagh,1422,2330,872,53,1529
Jordan Springs - Llandilo,928,2211,475,42,847
Richmond - Clarendon,1541,1582,816,55,2439
Windsor - Bligh Park,1387,1788,923,58,2073
Yarramundi - Londonderry,571,883,247,21,525
Erskine Park,544,985,262,15,422
St Clair,1753,2795,977,51,1598
Colyton - Oxley Park,951,1491,865,71,1600
St Marys - North St Marys,1166,1695,1171,121,3066
Rookwood Cemetery,0,0,0,0,0
Auburn - Central,1345,2083,605,148,2576
Auburn - North,885,978,290,130,1838
Auburn - South,493,1187,315,33,797
Berala,641,1050,383,70,1080
Lidcombe,1987,2463,777,179,2694
Regents Park,344,656,215,19,648
Silverwater - Newington,682,1258,255,24,718
Wentworth Point - Sydney Olympic Park,3283,1923,593,131,4314
Ermington - Rydalmere,1965,3465,1043,95,2810
Oatlands - Dundas Valley,1500,2577,789,75,2255
Carlingford - East,965,1893,421,36,899
Carlingford - West,1656,3093,701,76,1463
Chester Hill - Sefton,1038,2544,1047,104,2198
Fairfield - East,870,1775,826,75,2034
Granville - Clyde,1698,2581,867,182,3205
Guildford - South Granville,1098,2703,979,91,2641
Guildford West - Merrylands West,1351,2767,1106,131,2767
Smithfield Industrial,0,0,0,0,13
Yennora Industrial,0,0,0,0,4
Greystanes - South,1417,2381,709,53,1268
Merrylands - Holroyd,1459,2914,1054,156,3349
Pemulwuy - Greystanes (North),784,1688,434,33,797
South Wentworthville,451,992,335,31,789
North Parramatta,2101,2602,895,170,4269
North Rocks,790,1341,267,18,598
Northmead,1911,2708,711,115,3029
Toongabbie - Constitution Hill,1911,3134,918,106,2572
Winston Hills,1007,1800,366,19,770
Pendle Hill - Girraween,833,2215,404,76,1508
Wentworthville - Westmead,1528,3300,620,116,2684
Parramatta - North,1344,1350,248,120,2540
Parramatta - South,852,1124,281,104,1709
Rosehill - Harris Park,821,1029,267,66,1769
Pennant Hills - Cheltenham,2041,3408,630,58,1771
Epping (East) - North Epping,1362,2198,447,63,1482
Epping (NSW) - West,1755,2860,658,75,1793
Gladesville - Huntleys Point,1628,1987,537,73,2425
Hunters Hill - Woolwich,868,1334,253,18,1033
Macquarie Park - Marsfield,2744,2390,741,186,4506
North Ryde - East Ryde,1533,2193,489,65,1796
West Ryde - Meadowbank,2295,2407,684,146,3287
Putney,398,659,116,17,308
Denistone,651,1106,208,19,535
Eastwood,1918,2586,648,82,2324
Ryde - North,1762,2757,779,117,2928
Ryde - South,1536,1435,356,81,1869
Ashcroft - Busby - Miller,797,1811,1393,119,2357
Austral - Greendale,1022,1721,458,41,1022
Badgerys Creek,8,3,0,0,5
Cecil Hills,413,1125,285,15,295
Green Valley,756,1904,691,50,765
Hinchinbrook,696,2055,616,43,628
Hoxton Park - Carnes Hill - Horningsea Park,678,2205,536,20,601
West Hoxton - Middleton Grange,800,2898,675,33,741
Cobbitty - Bringelly,518,682,156,14,369
Gledswood Hills - Gregory Hills,1079,2387,470,36,823
Leppington - Catherine Field,1095,1940,357,49,862
Oran Park,1165,2866,667,44,1104
Bonnyrigg Heights - Bonnyrigg,1057,2255,1156,85,1252
Bossley Park - Abbotsbury,1379,2905,830,91,1258
Cabramatta - Lansvale,1507,2601,1676,240,3064
Cabramatta West - Mount Pritchard,1054,2171,1269,96,1856
Canley Vale - Canley Heights,1176,2700,1494,167,2315
Edensor Park,711,1517,505,49,538
Fairfield,1154,2189,1143,149,2163
Fairfield - West,1179,2894,1142,104,1617
Greenfield Park - Prairiewood,626,1245,458,38,583
