sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Bellevue Hill,0,1,14429,6515,1064,3393,5054,2271,3693,49,1893,128,564,443,1024,256,2849,7541,243,3724,0.5371866754617414,0.08773087071240106,0.27976583113456466,0.6697588126159555,0.3009541478929234,0.27112546802731075,0.003597386388664562,0.13897658028044932,0.009528063123418192,0.04198302813756141,0.032976030966205154,0.07622450498734554,0.019056126246836384,0.2120738424892065,0.6217843007915568,0.02003627968337731,0.3070580474934037
Double Bay - Darling Point,0,1,9958,4929,747,2233,3769,1494,2519,14,2109,115,614,410,916,189,2153,5430,195,2699,0.5580210573983924,0.08456922902751048,0.25280199252801994,0.6943625644804716,0.27523949889462046,0.2827477831406443,0.0015714446065776182,0.23672690537658547,0.013197154005049345,0.07046132660087216,0.047050722974523757,0.10511820059674087,0.021689235712646315,0.24707367454670645,0.6147401788746745,0.022076304766217594,0.3055587003283143
Kensington (NSW),0,1,11809,4641,880,3758,3200,2736,2523,50,1739,134,717,589,1038,279,1344,6032,386,3372,0.4468515309069902,0.08472944348160986,0.36183323704987486,0.5310321938267507,0.4540325257218719,0.2325774336283186,0.004609144542772861,0.1603060471976401,0.01256446319737459,0.06722925457102673,0.05522737927801219,0.09732770745428973,0.026160337552742614,0.1260196905766526,0.5807818216830348,0.03716541498170614,0.3246678220681687
Kingsford,0,1,13605,5210,991,4359,3301,3298,2985,76,2051,193,1170,656,1051,322,1434,6712,444,4021,0.443971026842778,0.08444823178525777,0.3714529186195143,0.4917324594071205,0.4912855653210189,0.22896371864692797,0.0058295620158011815,0.1573214696632661,0.015000777242344164,0.09093735426706047,0.0509870977770869,0.08168817037152185,0.025027203482045703,0.1114565521529613,0.571964209629314,0.03783553472518108,0.3426501917341287
Maroubra - North,0,1,9790,3471,778,3034,2661,2072,2468,77,1070,72,660,355,675,230,1401,4810,212,2690,0.4220060790273556,0.09458966565349544,0.3688753799392097,0.5525332225913622,0.43023255813953487,0.2608328049038258,0.008137814415556964,0.11308391460579159,0.007680819287390655,0.07040751013441433,0.03787070620866226,0.07200768081928739,0.024535950501386815,0.14945594196714315,0.5848024316109423,0.025775075987841945,0.3270516717325228
Maroubra - South,0,1,11084,3532,885,3702,2708,2371,2788,49,1722,98,1299,440,815,268,1351,5162,267,3189,0.38258232235701906,0.09586221837088388,0.40099653379549394,0.5243996901626646,0.45914020139426803,0.260780095407352,0.004583294359741839,0.16107005892807033,0.009417643667115125,0.12483182779165866,0.042283298097251586,0.07832019988468192,0.025754372477416874,0.12982894483951565,0.5591421143847487,0.028921143847487,0.34542894280762565
Maroubra - West,0,1,9846,3434,833,3241,2374,2592,2547,52,1223,103,755,417,863,280,1199,5081,240,2708,0.41184936435596065,0.09990405372991125,0.3887023266970496,0.4675068924773533,0.5104371799921229,0.2684160607018653,0.005480029507851196,0.1288860786173464,0.010970284375332836,0.08041324954734264,0.04441367557780381,0.09191607199914793,0.029822132282458197,0.12770263073809776,0.6093787479011753,0.02878388102662509,0.32477812425041974
Randwick - North,0,1,16206,7048,1177,3859,5686,3375,4058,31,2664,92,975,714,1608,424,2613,9226,298,3235,0.5178545187362233,0.08648052902277736,0.2835415135929464,0.6162349626097323,0.365774357862794,0.2643303804064617,0.0020192808754559664,0.17352787910369985,0.0060742110128086625,0.06437343192922224,0.047141159382015053,0.10616664465865575,0.027994189885118183,0.1725207975703156,0.6778839088905216,0.021895664952241,0.23769287288758267
Randwick - South,0,1,12735,5506,913,3548,4167,2907,3034,38,1966,95,774,504,1073,333,1989,7173,296,2908,0.49756009398156514,0.08250497017892644,0.32062172420025303,0.5810094813162298,0.40532626882320133,0.2524546513562989,0.003161923780995174,0.163587951406224,0.008032468081508414,0.06544347679039486,0.042614356979792004,0.09072461317324765,0.02815591443307686,0.16817451593810773,0.648201698897524,0.02674859931321164,0.26278691487439004
Coogee - Clovelly,0,1,19521,9130,1467,4598,7681,4037,4959,45,3033,105,857,635,1596,496,3930,11936,397,3481,0.5502651880424301,0.08841610414657666,0.2771215043394407,0.6430843938379103,0.3379939718687207,0.269028373026637,0.0024412738024195734,0.16454185428307927,0.005787037037037037,0.04723324514991182,0.03499779541446208,0.08796296296296297,0.027336860670194002,0.2166005291005291,0.7193828351012537,0.023927193828351012,0.20979990356798456
