sa2,Arthritis,Asthma,Cancer (including remission),Dementia (including Alzheimer's),Diabetes (excluding gestational diabetes),Heart disease (including heart attack or angina),Kidney disease,Lung condition (including COPD or emphysema),Mental health condition (including depression or anxiety),Stroke,Any other long-term health condition(s),No long-term health condition(s),Not stated
St Georges Basin - Erowal Bay,2620,1532,789,216,1269,1040,361,629,1990,287,1598,6991,1368
Sussex Inlet - Berrara,946,407,286,72,466,414,112,230,526,102,426,2025,496
Tomerong - Wandandian - Woollamia,454,295,137,14,179,159,45,80,344,45,324,2022,371
Ulladulla,2745,1412,771,175,1021,1026,259,520,1742,234,1489,8818,1375
Ulladulla Surrounds,926,441,278,42,322,337,82,179,499,73,498,3023,530
Bowral,1969,982,753,177,653,838,166,334,989,194,1201,7374,999
Hill Top - Colo Vale,667,620,186,23,313,235,53,125,614,61,562,3743,420
Mittagong,1331,889,409,103,512,526,85,259,1058,139,905,6284,737
Moss Vale - Berrima,1232,962,396,48,586,455,92,263,1071,106,917,5845,954
Robertson - Fitzroy Falls,412,322,146,15,143,171,22,56,295,31,251,2208,338
Southern Highlands,874,570,321,57,349,348,64,141,561,68,542,4061,580
Baulkham Hills - East,1629,1533,624,288,1093,852,188,257,1455,186,1896,16809,1092
Baulkham Hills (West) - Bella Vista,1299,1312,575,77,1107,774,125,194,1051,115,1556,14823,987
Glenhaven,731,435,301,116,311,368,63,93,332,72,511,3838,334
West Pennant Hills,843,834,433,53,650,514,84,121,597,97,978,8486,528
Castle Hill - Central,493,510,197,29,298,259,51,73,388,41,545,5288,337
Castle Hill - East,624,331,224,215,356,380,64,108,266,88,563,3130,545
Castle Hill - North,784,788,369,47,540,463,96,116,603,81,958,8214,568
Castle Hill - South,634,632,276,35,419,373,69,91,506,77,781,7141,491
Castle Hill - West,267,292,104,20,253,159,36,40,230,26,368,3699,182
Cherrybrook,1187,1137,529,138,947,728,130,187,910,115,1618,12966,768
Kellyville - East,976,1166,396,44,755,525,101,142,925,98,1323,12370,694
Kellyville - West,567,577,208,87,512,346,79,82,446,60,695,8231,561
Dural - Kenthurst - Wisemans Ferry,1794,1471,726,221,939,923,192,293,1361,178,1595,14480,1421
Galston - Laughtondale,544,363,206,67,198,255,56,65,353,48,378,3293,419
Bilpin - Colo - St Albans,248,202,110,12,99,120,29,66,202,26,188,1637,349
Kurrajong Heights - Ebenezer,1870,1794,663,85,960,814,169,347,1787,142,1735,13721,1404
Pitt Town - McGraths Hill,936,807,293,50,490,386,107,135,748,85,762,7229,896
Box Hill - Nelson,329,624,143,7,355,166,40,41,451,36,571,7684,492
North Kellyville,546,962,220,24,506,293,61,56,723,33,880,13079,969
Rouse Hill - Beaumont Hills,851,1088,355,33,741,432,102,115,944,83,1239,12536,692
Blacktown (East) - Kings Park,1001,983,278,122,977,555,140,189,1038,109,1183,11363,1495
Blacktown (North) - Marayong,1454,1437,397,153,1367,737,201,331,1322,174,1555,13229,1630
Doonside - Woodcroft,1593,1739,462,89,1781,824,224,333,1354,216,1812,14952,1754
Lalor Park - Kings Langley,2130,2117,678,178,1526,1012,218,422,2055,219,2078,15291,1934
Blacktown - South,828,895,233,62,820,437,116,191,802,98,874,8170,984
Blacktown - West,1222,1141,362,208,1165,686,162,239,1103,140,1294,10921,1431
Seven Hills - Prospect,1044,1051,336,59,1019,546,123,217,890,136,1098,9558,1030
Toongabbie - West,661,727,210,43,735,359,87,163,593,69,723,7919,790
Glenwood,822,1027,241,27,952,436,103,101,774,65,1140,11182,610
Acacia Gardens,191,252,63,6,207,110,25,21,198,20,263,2596,93
Quakers Hill,1277,1698,414,76,1346,605,151,199,1453,136,1739,16851,1424
Kellyville Ridge - The Ponds,938,1341,296,46,962,503,124,115,944,91,1448,15181,911
Marsden Park - Shanes Park,434,784,132,18,609,253,71,81,458,53,734,11917,924
Riverstone,738,1066,200,32,566,311,80,160,990,75,902,9134,1124
Schofields (West) - Colebee,325,547,93,11,424,177,46,42,367,35,549,7468,592
