sa2,Has asthma,Does not have asthma,Not stated
Pemulwuy - Greystanes (North),660,9454,778
South Wentworthville,407,6173,726
North Parramatta,1313,19633,1933
North Rocks,581,7479,386
Northmead,1195,17702,1380
Toongabbie - Constitution Hill,1550,19690,1621
Winston Hills,873,9853,473
Pendle Hill - Girraween,701,12027,1211
Wentworthville - Westmead,931,18774,1864
Parramatta - North,409,10753,903
Parramatta - South,298,8819,745
Rosehill - Harris Park,335,7986,713
Pennant Hills - Cheltenham,1484,19222,1035
Epping (East) - North Epping,766,13017,620
Epping (NSW) - West,888,17018,781
Gladesville - Huntleys Point,1116,13418,917
Hunters Hill - Woolwich,626,8277,937
Macquarie Park - Marsfield,1316,21153,1347
North Ryde - East Ryde,967,13656,996
West Ryde - Meadowbank,1018,18110,970
Putney,258,3659,244
Denistone,409,6272,293
Eastwood,878,17079,1019
Ryde - North,1156,17936,1192
Ryde - South,626,10553,787
Ashcroft - Busby - Miller,1587,13975,2407
Austral - Greendale,676,10530,1326
Badgerys Creek,0,20,0
Cecil Hills,408,6084,415
Green Valley,762,11199,962
Hinchinbrook,825,11346,864
Hoxton Park - Carnes Hill - Horningsea Park,804,11535,932
West Hoxton - Middleton Grange,946,15138,1110
Cobbitty - Bringelly,342,4062,350
Gledswood Hills - Gregory Hills,992,12525,783
Leppington - Catherine Field,759,11065,734
Oran Park,1207,15316,1096
Bonnyrigg Heights - Bonnyrigg,1062,14787,1303
Bossley Park - Abbotsbury,1050,17131,1511
Cabramatta - Lansvale,1094,20620,2389
Cabramatta West - Mount Pritchard,1037,15453,1757
Canley Vale - Canley Heights,1135,19089,2032
Edensor Park,521,9003,748
Fairfield,921,15527,1799
Fairfield - West,1099,18283,1869
Greenfield Park - Prairiewood,478,7764,612
Horsley Park - Kemps Creek,213,3735,393
Smithfield - Wetherill Park,1164,16849,1490
St Johns Park - Wakeley,605,9889,700
Wetherill Park Industrial,3,28,7
Casula,1035,14171,1375
Chipping Norton - Moorebank,1343,18026,1439
Holsworthy - Wattle Grove,1536,17984,1614
Lurnea - Cartwright,980,10166,1522
Warwick Farm,385,4818,731
Edmondson Park,554,10683,838
Liverpool - East,885,14287,2365
Liverpool - West,852,11406,1484
Prestons,934,13728,1038
Gymea - Grays Point,1295,15857,1008
Miranda - Yowie Bay,1463,17902,1342
Sylvania - Taren Point,1011,14237,1185
Caringbah,958,10956,941
Caringbah South,885,11371,764
Cronulla - Kurnell - Bundeena,1652,20878,1854
Lilli Pilli - Port Hacking - Dolans Bay,198,2976,196
Woolooware - Burraneer,632,7828,487
Heathcote - Waterfall,597,5724,351
Illawong - Alfords Point,686,9370,498
Menai - Lucas Heights - Woronora,1786,18157,977
Oyster Bay - Como - Jannali,1749,19144,1167
Royal National Park,5,27,18
Sutherland - Kirrawee,1934,19934,1370
Engadine,1525,14878,955
Loftus - Yarrawarrah,625,6356,371
Woronora Heights,297,3049,191
Migratory - Offshore - Shipping (NSW),0,0,0
No usual address (NSW),776,6618,3980
