"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Newcastle - Cooks Hill",0,0,12805,10010,2146,591,10925,1224,619
"Newcastle Port - Kooragang",0,0,31,21,4,5,24,0,5
"Shortland - Jesmond",0,0,12593,8384,2903,1277,8658,2559,1363
"Stockton - Fullerton Cove",0,0,8824,7385,922,493,7986,318,502
"Wallsend - Elermore Vale",0,0,20958,17038,3082,820,17647,2464,854
"Waratah - North Lambton",0,0,12883,10320,1855,666,10650,1368,842
"Wickham - Carrington - Tighes Hill",0,0,9171,7649,1176,320,8204,624,355
"Ballina",0,0,18629,14996,2316,1321,16472,878,1258
"Ballina Surrounds",0,0,18327,15181,2172,933,16680,766,855
"Bangalow",0,0,6958,4804,1330,801,5707,427,808
"Brunswick Heads - Ocean Shores",0,0,9170,6680,1717,763,7681,729,742
"Byron Bay",0,0,10914,6942,2986,942,8469,1521,935
"Evans Head",0,0,5643,4634,398,612,4950,105,552
"Lennox Head - Skennars Head",0,0,9236,7437,1302,436,8309,496,439
"Mullumbimby",0,0,8896,5898,1752,1209,6981,755,1151
"Casino",0,0,12298,10477,676,1127,10905,261,1092
"Casino Surrounds",0,0,7381,5952,467,910,6366,155,846
"Goonellabah",0,0,13591,11538,1333,726,12046,841,718
"Kyogle",0,0,7611,6097,707,768,6626,233,729
"Lismore",0,0,15229,12517,1486,1186,13236,812,1162
"Lismore Surrounds",0,0,15786,12392,1809,1592,13716,665,1385
"Kingscliff - Fingal Head",0,0,14818,11822,2200,757,13467,583,765
"Murwillumbah",0,0,9501,7696,1163,609,8334,452,712
"Murwillumbah Surrounds",0,0,10352,7759,1260,1291,8776,396,1168
"Pottsville",0,0,14086,11197,1934,954,12574,543,958
"Tweed Heads",0,0,20563,15104,3799,1654,17421,1362,1750
"Banora Point",0,0,16320,13073,2418,798,14847,702,731
"Terranora - North Tumbulgum",0,0,3324,2746,432,134,3068,123,136
"Tweed Heads South",0,0,8423,6236,1665,521,7328,587,496
"Griffith (NSW)",0,0,20569,13749,5411,1365,13526,5566,1418
"Griffith Surrounds",0,0,12760,9919,1188,1612,10174,1057,1497
"Leeton",0,0,10330,8383,1143,770,8542,1031,742
"Narrandera",0,0,5905,4966,311,607,5101,191,601
"Tumbarumba",0,0,3522,2860,319,323,3025,93,394
"Tumut",0,0,6667,5557,579,479,5857,344,458
"Tumut Surrounds",0,0,4744,3883,355,462,4130,198,417
"Cootamundra",0,0,7705,6600,516,572,7025,192,489
"Gundagai",0,0,3715,3027,233,440,3149,165,400
"Junee",0,0,6351,5398,509,411,4886,285,1163
"Temora",0,0,6603,5842,358,408,6071,168,365
"Wagga Wagga - East",0,0,16921,14560,1707,668,15059,1172,674
"Wagga Wagga - North",0,0,5605,4508,766,305,4620,688,293
"Wagga Wagga - South",0,0,22522,18592,2823,1108,18971,2403,1130
"Wagga Wagga - West",0,0,11962,9590,1495,871,9936,1165,839
"Wagga Wagga Surrounds",0,0,17788,15193,1217,1377,15707,769,1297
"Berry - Kangaroo Valley",0,0,9489,7444,1477,532,8731,263,477
"Callala Bay - Currarong",0,0,3642,2922,541,173,3296,168,155
"Culburra Beach",0,0,5105,4255,566,254,4702,166,204
"Ettrema - Sassafras - Budawang",0,0,62,53,0,5,57,0,6
