sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Inverell,0,0,10449,15,7,3,0,0,4,8,66,22,3,0,0,0,3,3,0,0,0,0,0,13,0,0,0,28,29,0,0,0,0,35,12,112,0,0,55,3,9,0,0,0,0,0,0,0,0,0,0,11,0,0,12,99,14,6,0,7,16,1010
Inverell Surrounds - East,0,0,4569,6,0,9,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,565
Inverell Surrounds - West,0,0,5135,4,0,8,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,540
Tenterfield,0,0,5968,23,14,0,0,0,0,0,5,16,0,0,0,0,0,4,0,6,0,0,0,5,0,0,0,11,30,0,0,0,0,0,6,23,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,9,0,0,6,3,646
Moree,0,0,6087,3,9,0,6,0,0,0,3,8,0,0,0,0,0,7,30,6,0,0,0,15,0,0,0,26,58,0,0,0,0,9,17,45,0,0,37,3,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,19,0,0,0,0,0,1403
Moree Surrounds,0,0,3909,10,21,0,0,0,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,22,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,3,4,1322
Narrabri,0,0,6143,5,9,0,3,0,9,0,7,5,3,0,0,0,0,0,0,0,0,0,3,6,6,0,0,9,43,0,0,0,0,7,3,39,0,0,26,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,0,0,8,10,536
Narrabri Surrounds,0,0,3892,0,11,4,6,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,0,0,0,0,0,0,4,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,652
Gunnedah,0,0,8549,6,37,11,5,0,12,3,17,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,9,24,0,0,0,0,11,9,78,0,0,40,8,8,4,7,0,0,0,0,0,0,0,0,14,0,0,10,29,0,0,0,5,11,827
Gunnedah Surrounds,0,0,3858,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,10,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,449
Quirindi,0,0,6498,0,7,4,0,0,0,5,5,3,0,0,0,0,0,0,10,0,0,0,3,11,3,0,0,10,24,0,0,0,0,3,3,14,0,0,18,0,4,0,31,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,5,3,848
Tamworth - East,0,0,18672,8,18,0,0,0,15,9,30,21,7,0,0,0,0,12,9,5,0,0,8,34,4,0,0,33,205,0,0,14,0,163,37,146,0,0,272,5,11,0,13,0,0,0,0,0,0,0,0,79,0,0,24,56,0,0,0,17,23,1399
Tamworth - North,0,4,13860,7,11,3,0,0,25,16,25,8,0,0,0,3,0,0,0,3,0,0,14,53,0,0,0,123,479,0,0,45,0,158,23,171,0,0,171,12,7,0,4,0,0,0,4,0,0,0,0,34,0,0,55,31,0,5,0,10,21,1126
Tamworth - West,0,0,4810,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,25,0,28,12,172,0,0,60,3,0,0,3,0,0,0,0,0,0,0,0,40,0,0,6,27,8,0,0,7,6,743
Tamworth Surrounds,0,5,17505,26,34,6,7,0,11,8,15,6,14,0,0,0,5,4,4,3,0,0,10,13,0,0,3,35,32,0,0,0,0,6,9,19,0,0,31,3,0,0,3,0,0,0,0,0,0,0,0,20,0,0,3,3,0,0,0,15,19,1168
Belmont - Bennetts Green,0,0,16531,23,39,12,3,0,15,17,60,31,3,0,0,5,0,22,36,13,0,0,10,23,0,0,0,14,78,0,0,0,0,19,34,48,0,0,100,13,9,0,3,0,0,0,0,0,0,0,0,3,0,0,9,20,0,0,0,16,21,630
Belmont South - Blacksmiths,0,0,5236,15,10,0,0,0,0,7,3,8,3,0,0,4,0,0,6,4,0,0,0,0,0,0,0,5,8,0,0,0,0,7,10,26,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,4,3,280
Charlestown - Dudley,0,0,22668,69,45,29,4,0,61,62,116,98,0,0,0,4,9,28,197,49,3,0,19,33,3,0,0,33,190,0,0,0,0,35,46,87,0,0,261,21,50,13,7,0,0,0,0,0,0,0,0,13,0,0,27,74,0,0,0,16,24,856
Glendale - Cardiff - Hillsborough,0,6,22190,59,24,22,3,0,34,66,72,76,4,0,0,0,3,33,124,57,7,0,41,51,11,0,0,67,141,0,0,0,0,65,51,118,0,0,172,22,27,0,0,0,0,0,0,0,0,0,0,29,0,0,18,85,0,0,0,29,34,848
Mount Hutton - Windale,0,0,8415,13,21,6,0,0,5,12,18,20,0,0,0,0,7,7,26,18,0,0,5,16,0,0,0,15,43,0,0,0,0,24,25,33,0,0,45,7,16,5,0,0,0,0,0,0,0,0,0,11,0,0,13,18,0,0,0,8,11,635
Redhead,0,0,3392,22,10,5,0,0,6,0,18,16,0,0,0,0,0,3,19,5,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,6,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,3,233
Swansea - Caves Beach,0,0,11680,16,17,20,6,0,21,4,42,18,8,0,0,10,4,13,27,13,0,0,0,13,7,4,0,0,19,0,0,0,0,4,28,55,0,0,35,13,12,0,0,0,0,0,0,0,0,0,0,3,0,0,4,12,0,0,0,13,7,437
Valentine - Eleebana,0,0,11723,35,53,11,0,0,19,24,50,20,3,3,0,7,3,7,33,13,3,0,9,28,0,0,8,22,39,0,0,0,0,7,17,19,0,0,83,15,3,0,0,0,0,0,0,0,0,0,0,3,0,0,19,15,0,0,0,10,13,251
Warners Bay - Boolaroo,0,0,13341,53,45,4,4,0,12,13,49,33,0,0,0,5,0,15,74,28,0,0,6,41,4,0,0,36,136,3,0,13,0,16,14,50,0,0,114,13,14,0,0,0,0,0,0,0,0,0,0,8,0,0,5,16,0,0,0,18,16,484
Bolton Point - Teralba,0,0,9067,33,31,4,0,0,18,17,17,27,0,0,0,0,0,7,19,20,0,0,0,3,3,0,0,20,41,0,0,0,4,26,19,33,0,0,30,3,9,0,3,0,0,0,0,0,0,0,0,14,0,0,11,31,0,0,0,14,14,604
Bonnells Bay - Silverwater,0,0,8938,11,25,5,0,0,20,19,37,16,5,0,0,0,7,7,12,14,0,0,4,14,0,0,0,8,28,0,0,0,0,0,13,29,0,0,37,14,4,0,3,0,0,0,0,0,0,0,0,11,0,0,18,32,0,0,0,20,7,349
Edgeworth - Cameron Park,0,0,14164,32,55,6,0,0,0,30,48,29,5,0,0,0,0,4,68,21,0,0,43,45,3,0,0,174,497,0,0,3,0,41,24,107,0,0,158,4,47,0,0,0,0,0,0,0,0,0,0,25,0,0,56,49,0,0,0,30,26,584
Morisset - Cooranbong,0,4,16459,24,74,7,3,0,10,9,67,20,9,0,0,0,0,15,27,16,15,0,12,38,0,0,0,20,71,0,0,10,0,22,41,71,0,0,33,4,31,7,0,0,0,0,0,0,0,0,0,5,0,0,34,115,4,4,0,9,29,808
Toronto - Awaba,0,3,12855,30,38,11,5,0,9,14,44,22,9,0,0,0,0,18,16,33,0,0,4,3,0,0,0,4,36,0,0,0,0,38,22,60,0,0,54,7,4,0,0,0,0,0,0,4,0,0,0,6,0,0,3,17,0,0,0,6,9,583
Wangi Wangi - Rathmines,0,0,8735,22,32,9,12,0,3,13,30,11,0,0,0,0,3,8,10,15,0,0,0,4,9,0,0,0,9,0,0,0,0,19,19,15,0,0,36,10,6,0,0,0,0,0,0,0,0,0,0,11,0,0,6,10,0,0,0,6,18,401
West Wallsend - Barnsley - Killingworth,0,0,6845,12,13,0,0,0,0,3,3,3,3,0,0,0,0,5,3,10,0,0,3,0,0,0,0,17,11,0,0,0,0,0,15,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,9,235
Adamstown - Kotara,0,10,14768,42,19,16,6,0,30,92,95,90,0,0,0,0,8,20,223,17,5,0,10,30,3,0,0,28,127,0,0,0,0,46,43,76,0,0,186,36,20,23,0,0,0,0,0,0,0,0,0,7,0,0,12,4,0,0,0,21,15,475
Beresfield - Hexham,0,0,7767,10,0,0,3,0,5,0,13,6,0,0,0,0,0,4,5,11,0,0,0,12,0,0,5,6,31,0,0,0,0,28,20,42,0,0,110,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,59,0,0,0,15,19,383
Hamilton - Broadmeadow,0,0,10584,35,24,18,9,0,39,259,61,148,0,0,0,0,4,15,138,17,3,0,21,21,3,0,6,8,145,0,0,0,0,56,15,47,0,0,117,7,17,23,0,0,0,0,0,0,0,0,0,17,0,0,31,14,0,0,0,19,18,836
Lambton - New Lambton,0,5,15275,38,8,26,0,0,33,67,79,60,3,0,0,5,3,0,214,25,0,0,52,52,3,5,4,87,215,0,0,3,0,49,19,84,0,0,175,20,39,0,0,0,0,0,0,0,0,0,0,3,0,0,25,16,0,0,0,4,24,609
Maryland - Fletcher - Minmi,0,0,13283,9,40,3,5,0,15,28,90,24,7,0,0,0,0,11,194,44,3,0,72,255,11,0,8,536,426,0,0,3,0,107,18,161,0,0,315,17,95,7,3,3,0,0,0,0,0,0,0,17,0,6,91,31,0,3,0,12,48,444
Mayfield - Warabrook,0,3,13368,39,18,16,0,0,26,55,68,59,3,0,0,3,10,6,173,35,9,0,25,29,6,0,0,19,143,0,0,9,0,130,36,120,0,0,180,21,18,23,0,0,0,0,0,0,0,0,0,4,0,0,56,71,0,0,0,18,21,705
Merewether - The Junction,0,4,13169,48,39,35,0,0,47,90,97,80,0,0,0,0,5,13,62,25,0,0,14,11,0,0,0,21,59,0,0,4,0,26,21,36,0,0,75,19,14,9,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,4,16,429
Newcastle - Cooks Hill,0,3,10925,77,37,41,16,0,55,29,165,77,0,0,0,0,4,22,43,21,5,0,29,77,10,0,0,31,107,0,0,4,0,32,20,87,0,0,130,35,22,0,0,0,0,0,0,0,0,0,0,13,0,0,22,9,0,3,0,6,24,619
Newcastle Port - Kooragang,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Shortland - Jesmond,0,0,8658,11,14,11,0,0,17,13,42,24,0,0,0,5,0,8,73,14,0,0,264,218,10,0,5,73,525,0,0,18,0,104,35,150,0,0,522,16,47,9,0,0,0,0,0,0,0,0,0,10,0,0,233,47,0,3,0,14,31,1363
Stockton - Fullerton Cove,0,4,7986,23,12,11,3,0,12,14,24,9,0,0,0,0,4,14,14,4,0,0,0,6,0,0,0,0,21,0,0,0,0,14,12,31,0,0,32,10,11,0,0,0,0,0,0,0,0,0,0,6,0,0,15,6,0,0,0,5,10,502
Wallsend - Elermore Vale,0,0,17647,33,29,6,0,0,13,54,83,69,4,0,0,4,8,33,333,68,0,0,82,164,22,0,0,110,370,6,0,11,0,80,46,170,0,0,327,26,98,0,5,0,0,0,0,0,0,0,0,12,0,0,103,34,0,0,0,17,38,854
Waratah - North Lambton,0,0,10650,30,12,13,3,0,15,49,67,75,0,0,0,0,8,17,141,26,21,0,43,48,0,0,0,38,222,3,0,7,0,85,22,92,0,0,142,13,14,11,3,0,0,0,0,0,0,0,0,16,0,0,71,56,0,0,0,9,11,842
Wickham - Carrington - Tighes Hill,0,0,8204,36,14,12,0,0,28,23,78,20,0,0,0,3,4,14,46,9,0,0,14,6,6,0,3,11,81,3,0,0,0,0,22,34,0,0,56,17,4,5,0,0,0,0,0,0,0,0,0,10,0,0,10,19,0,0,0,3,15,355
Ballina,0,5,16472,48,24,16,0,0,41,7,99,49,5,0,0,0,5,15,14,13,0,0,5,19,0,0,0,18,159,0,0,0,0,26,65,57,0,0,58,45,9,0,15,0,0,0,0,0,0,0,0,28,0,0,3,14,0,0,0,16,15,1258
Ballina Surrounds,0,17,16680,53,72,23,7,0,39,4,112,72,3,0,0,0,10,5,8,0,0,0,0,15,0,0,4,10,53,0,0,0,0,34,40,35,0,0,59,25,7,0,0,0,0,0,0,0,0,0,0,24,0,0,4,9,7,0,0,8,8,855
Bangalow,0,0,5707,39,34,9,0,0,51,11,83,29,0,0,0,0,5,7,9,9,0,0,0,22,0,0,0,0,30,0,0,0,0,3,13,11,0,0,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,808
Brunswick Heads - Ocean Shores,0,4,7681,108,14,28,11,0,73,11,155,69,3,4,0,3,0,20,10,7,0,0,0,74,5,0,0,0,27,0,0,0,0,4,14,22,0,0,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,742
Byron Bay,0,0,8469,114,57,55,4,0,171,24,542,157,0,0,0,0,4,19,4,31,0,0,3,41,5,0,0,3,23,0,0,0,0,16,34,41,0,0,30,93,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,6,14,935
Evans Head,0,3,4950,5,21,4,3,0,3,0,5,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,3,0,0,5,3,552
Lennox Head - Skennars Head,0,3,8309,63,36,23,0,0,63,13,80,28,0,0,0,0,0,6,6,12,3,0,14,6,11,0,0,5,13,0,0,0,0,0,25,16,0,0,17,30,5,0,0,0,0,0,0,0,0,0,0,8,0,0,5,4,4,0,0,11,9,439
Mullumbimby,0,0,6981,150,20,11,0,0,81,9,114,41,0,0,0,0,3,10,9,19,0,0,4,132,0,0,0,0,24,0,0,0,0,6,10,24,0,0,17,41,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,14,1151
Casino,0,0,10905,17,13,0,0,0,0,7,3,16,0,0,0,4,0,0,4,5,5,0,0,0,0,0,0,9,29,0,0,0,0,0,6,70,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,6,7,0,0,0,12,15,1092
Casino Surrounds,0,7,6366,8,6,4,0,0,5,10,6,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,16,0,0,7,10,846
Goonellabah,0,0,12046,38,18,5,0,0,20,10,48,70,8,0,0,4,7,4,6,0,0,0,15,30,5,0,0,18,132,0,0,0,0,46,15,73,0,0,65,26,19,0,11,0,0,0,0,0,0,0,0,57,0,0,24,19,0,0,0,25,14,718
Kyogle,0,0,6626,30,12,3,4,0,11,0,23,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,23,0,0,4,0,6,11,19,0,0,11,11,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,8,0,8,0,3,10,729
Lismore,0,0,13236,64,18,13,0,0,43,6,42,70,5,0,0,0,4,3,11,5,0,0,4,20,0,0,0,12,135,0,0,4,0,22,29,70,0,0,56,32,13,0,8,0,0,0,0,0,0,0,0,36,0,0,16,9,7,3,0,45,17,1162
Lismore Surrounds,0,7,13716,113,46,12,5,0,55,10,85,62,0,0,0,0,0,10,5,6,5,0,0,22,0,0,0,0,40,0,0,0,0,10,43,20,0,0,16,28,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,18,8,0,0,31,25,1385
Kingscliff - Fingal Head,0,0,13467,45,20,24,3,0,44,8,109,35,6,0,0,0,0,9,8,19,0,0,0,0,4,0,0,9,31,0,0,0,0,4,18,42,0,0,28,50,0,0,3,0,0,0,0,0,0,0,0,20,0,0,10,21,3,0,0,7,10,765
Murwillumbah,0,0,8334,30,3,3,3,0,34,10,55,10,0,0,0,4,0,9,5,10,0,0,0,11,0,0,4,18,125,0,0,0,0,7,18,30,0,0,16,19,4,0,6,0,0,0,0,0,0,0,0,6,0,3,11,3,0,3,0,0,12,712
Murwillumbah Surrounds,0,6,8776,56,13,0,0,0,24,11,52,26,0,0,0,0,0,15,3,5,0,0,3,11,0,0,0,8,60,0,0,0,0,5,18,17,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,5,4,0,0,8,10,1168
Pottsville,0,0,12574,49,26,9,3,0,34,12,86,38,3,0,0,0,0,14,3,16,0,0,0,15,12,0,0,8,28,0,0,5,0,8,34,27,0,0,22,61,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,11,0,0,0,3,11,958
Tweed Heads,0,0,17421,66,29,11,13,0,65,20,376,65,0,0,0,0,6,9,27,29,9,0,0,17,6,3,4,13,119,0,0,0,0,19,43,127,0,0,89,99,16,0,4,0,0,0,0,0,0,5,0,5,0,0,12,29,4,4,0,8,25,1750
Banora Point,0,0,14847,43,9,16,0,0,36,11,63,32,12,0,0,5,0,6,12,20,0,0,13,8,0,4,0,83,29,0,0,0,0,20,44,92,0,0,73,35,9,0,11,0,0,0,0,0,0,0,0,15,0,0,6,10,0,0,0,4,14,731
Terranora - North Tumbulgum,0,5,3068,11,0,3,0,0,8,0,4,5,4,0,0,0,0,11,5,8,0,0,0,0,0,0,0,12,17,0,0,0,0,0,10,10,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,136
Tweed Heads South,0,0,7328,18,4,3,0,0,11,7,61,14,0,0,0,0,3,0,7,3,0,0,6,6,3,3,0,31,115,0,0,0,0,26,30,78,0,0,67,20,6,0,4,0,0,0,0,0,0,0,0,14,0,0,3,12,0,0,0,15,8,496
Griffith (NSW),0,7,13526,25,67,4,12,0,16,7,121,1069,0,0,0,0,0,6,12,0,0,0,155,34,98,0,19,132,2138,0,0,5,0,17,24,473,0,0,292,0,15,0,4,0,0,0,0,0,0,0,0,14,0,0,37,725,6,3,0,12,60,1418
Griffith Surrounds,0,0,10174,4,69,6,4,0,13,4,61,293,15,0,0,0,0,3,0,7,0,0,3,29,0,0,0,39,219,0,0,0,0,0,13,138,0,0,40,3,24,0,0,0,0,5,0,0,0,0,0,6,0,0,11,71,6,0,0,5,7,1497
Leeton,0,3,8542,7,19,0,4,0,4,7,7,235,0,0,0,0,0,0,4,0,0,0,25,3,0,0,0,23,198,0,0,9,0,0,21,164,0,0,143,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,28,63,0,0,0,11,17,742
Narrandera,0,0,5101,15,8,4,0,0,0,0,17,9,4,0,0,0,0,9,0,0,0,0,3,7,0,0,0,18,33,0,0,0,0,4,9,13,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,4,0,0,0,5,4,601
Tumbarumba,0,0,3025,6,7,5,0,0,6,3,9,5,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,394
Tumut,0,3,5857,9,59,0,10,0,0,6,19,5,0,0,0,0,0,6,9,0,0,0,4,9,0,0,0,24,35,4,0,0,0,4,11,48,0,0,29,0,5,0,4,0,0,0,0,0,0,0,0,22,0,0,4,17,0,0,0,4,6,458
Tumut Surrounds,0,0,4130,13,27,4,20,0,4,0,0,5,0,0,0,0,4,0,12,5,0,0,0,3,0,0,0,0,7,0,0,0,0,3,26,5,0,0,33,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,417
Cootamundra,0,0,7025,13,10,5,0,0,5,3,4,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,31,0,0,0,0,9,10,27,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,26,0,0,0,3,3,489
Gundagai,0,0,3149,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,5,18,0,0,0,0,0,0,11,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,3,0,400
Junee,0,0,4886,4,9,0,0,0,0,6,6,5,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,10,0,0,0,0,8,0,41,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,40,0,0,0,0,7,1163
Temora,0,0,6071,5,5,0,0,0,4,5,7,7,0,0,0,0,0,0,7,0,7,0,3,10,0,0,3,3,25,0,0,0,0,17,0,35,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,4,365
Wagga Wagga - East,0,0,15059,17,38,3,0,0,11,38,27,22,0,0,0,0,5,4,25,0,0,0,112,107,0,0,0,139,201,0,0,31,0,10,15,97,0,0,124,3,10,26,0,0,0,0,0,0,0,0,0,18,0,0,35,29,0,0,0,3,24,674
Wagga Wagga - North,0,6,4620,6,14,6,0,0,0,6,7,6,0,0,0,0,0,0,4,3,0,0,44,30,0,0,0,166,134,0,0,5,0,16,14,44,0,0,93,5,3,0,0,0,0,0,0,0,0,0,0,8,0,0,18,45,0,0,0,4,6,293
Wagga Wagga - South,0,0,18971,13,30,6,0,0,8,24,47,21,0,0,0,0,5,9,17,5,0,0,530,130,0,0,0,232,240,0,0,238,0,24,15,158,0,0,152,4,10,3,5,0,0,0,0,0,0,0,0,84,0,0,173,87,0,3,0,8,138,1130
Wagga Wagga - West,0,0,9936,15,11,7,0,0,15,8,31,17,0,4,0,0,0,3,5,4,0,0,161,48,3,0,0,79,304,0,0,41,0,34,37,68,0,0,79,6,10,4,5,0,0,0,0,0,0,0,0,24,0,0,50,67,0,0,0,12,40,839
Wagga Wagga Surrounds,0,0,15707,7,30,6,4,0,11,14,34,18,0,5,0,0,0,11,11,3,0,0,16,36,0,0,0,134,165,6,0,5,0,32,16,58,0,0,47,10,6,4,0,0,0,0,0,0,0,0,0,20,0,0,28,10,0,5,0,8,24,1297
Berry - Kangaroo Valley,0,7,8731,34,13,11,0,0,32,9,44,7,12,0,0,0,5,4,13,8,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,12,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477
Callala Bay - Currarong,0,0,3296,9,4,3,4,0,6,18,19,8,7,0,0,0,0,9,40,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,10,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,155
Culburra Beach,0,0,4702,14,8,0,0,0,3,13,10,13,4,0,0,0,0,5,7,3,0,0,0,0,0,0,0,0,11,0,0,0,0,14,4,14,0,0,26,4,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,6,204
Ettrema - Sassafras - Budawang,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Huskisson - Vincentia,0,6,4224,11,10,4,0,0,3,62,27,33,7,0,0,7,0,6,38,21,0,0,0,12,3,7,0,10,18,0,0,0,0,9,0,20,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,3,243
North Nowra - Bomaderry,0,3,14405,33,36,14,0,0,15,28,60,24,6,0,0,0,5,11,26,8,0,0,27,27,4,0,0,36,142,0,0,0,0,19,27,95,0,0,82,8,16,0,0,0,0,0,0,0,0,0,0,4,0,0,14,23,0,0,0,23,19,855
Nowra,0,0,18549,29,25,6,5,0,26,40,95,51,13,0,0,0,8,8,54,11,4,0,4,46,11,4,4,124,376,4,0,8,0,32,78,162,0,0,95,28,24,55,9,0,0,0,0,0,0,0,0,18,0,0,11,27,0,0,0,21,17,2503
St Georges Basin - Erowal Bay,0,3,13608,53,15,8,7,0,17,95,58,59,15,0,0,0,14,12,58,35,0,0,0,29,4,0,0,5,20,0,0,0,0,18,8,63,0,0,33,11,0,0,0,0,0,0,0,0,0,0,0,22,0,0,8,15,0,0,0,21,12,934
Sussex Inlet - Berrara,0,0,4198,8,3,3,0,0,4,17,8,3,4,0,0,0,0,4,9,8,0,0,0,6,0,0,0,5,19,0,0,0,0,6,0,8,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,352
Tomerong - Wandandian - Woollamia,0,0,3286,0,0,0,7,0,4,15,16,12,4,0,0,0,0,3,18,0,5,0,0,5,0,0,0,0,0,0,0,0,0,10,10,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,5,263
Ulladulla,0,0,15382,47,16,17,0,0,15,30,63,92,18,0,0,8,4,4,38,7,0,0,8,18,0,0,0,13,39,0,0,0,0,27,32,58,0,0,49,16,20,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,0,0,0,0,14,938
Ulladulla Surrounds,0,0,5327,25,15,9,0,0,3,3,7,12,0,0,0,3,0,6,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,15,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,349
Bowral,0,0,11987,54,38,21,8,0,37,47,58,77,0,0,0,6,13,21,59,21,0,0,16,19,4,3,0,37,188,5,0,0,0,18,17,33,0,0,83,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,705
Hill Top - Colo Vale,0,0,5930,24,5,5,0,0,6,13,33,22,6,0,0,0,5,0,28,14,0,0,0,29,0,0,0,0,9,0,0,3,0,7,3,12,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,7,199
Mittagong,0,0,9297,38,36,3,0,0,48,37,54,60,0,0,0,3,7,7,35,21,0,0,0,24,11,0,3,75,412,0,0,6,0,13,42,72,0,0,77,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,11,16,483
