"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"Bellevue Hill",1685,1594,453,57,2335,6124,
"Double Bay - Darling Point",1460,741,306,51,2483,5041,
"Kensington (NSW)",1202,1002,341,78,2157,4779,
"Kingsford",1136,1462,437,106,2526,5664,
"Maroubra - North",1010,1232,333,41,1324,3943,
"Maroubra - South",1100,1187,534,63,2234,5121,
"Maroubra - West",994,1214,379,62,1524,4169,
"Randwick - North",1760,1722,549,78,3087,7199,
"Randwick - South",1417,1236,383,77,2408,5517,
"Coogee - Clovelly",2437,1983,529,89,3710,8751,
"Malabar - La Perouse",971,1211,346,36,1374,3930,
"Matraville - Chifley",983,1887,655,56,1614,5198,
"South Coogee",390,732,237,14,920,2294,
"Bass Hill - Georges Hall",1323,2987,1244,105,2256,7909,
"Chullora",106,214,49,5,123,493,
"Condell Park",718,1689,622,44,1028,4095,
"Padstow",1505,2318,759,84,1906,6571,
"Revesby",1320,2397,882,74,1796,6473,
"Yagoona - Birrong",1347,2870,1131,105,2281,7730,
"Bankstown - North",1102,2157,903,100,2154,6415,
"Bankstown - South",1173,2150,978,122,2305,6728,
"Greenacre - North",698,1933,685,48,1408,4774,
"Greenacre - South",646,1874,585,41,982,4135,
"Panania (North) - Milperra",941,1645,487,56,1060,4191,
"Panania (South) - Picnic Point",1360,2348,637,60,1502,5910,
"Belmore - Belfield",1528,2448,1056,129,2755,7912,
"Punchbowl",1182,2780,986,119,2227,7289,
"Roselands",1015,2033,686,78,1493,5299,
"Lakemba",819,2251,532,107,2066,5775,
"Wiley Park",510,1359,391,67,1271,3590,
"Campsie - North",1060,1219,526,106,1841,4748,
"Campsie - South",841,810,429,109,1657,3842,
"Canterbury - South",1189,1441,536,74,1899,5137,
"Earlwood",1577,2566,761,69,1801,6769,
"Kingsgrove - North",530,851,311,15,589,2292,
"Narwee - Beverly Hills",1166,1813,641,81,1744,5443,
"Oatley - Hurstville Grove",1211,1912,417,41,1136,4709,
"Peakhurst - Lugarno",1821,2868,797,67,2010,7558,
"Riverwood",997,1240,679,73,2055,5046,
"South Hurstville - Blakehurst",2353,3273,899,169,2958,9656,
"Hurstville - Central",1420,1144,522,120,1976,5191,
"Hurstville - North",1044,1628,528,81,1198,4475,
"Mortdale - Oatley",1391,2046,511,63,1744,5755,
"Penshurst",935,1108,432,79,1529,4076,
"Kingsgrove (South) - Bardwell Park",1115,1809,597,63,1352,4943,
"Kogarah",1288,1535,445,101,2146,5522,
"Kogarah Bay - Carlton - Allawah",1493,2120,674,105,2071,6472,
"Monterey - Brighton-le-Sands - Kyeemagh",1396,1560,694,76,2519,6243,
"Rockdale - Banksia",2014,2158,743,149,3128,8191,
"Sans Souci - Ramsgate",1718,2008,744,69,2695,7237,
"Arncliffe - Bardwell Valley",1619,1870,638,106,2356,6591,
"Bexley - North",757,1445,433,37,873,3557,
"Bexley - South",1455,2007,640,92,2012,6205,
"Wolli Creek",1795,656,177,132,2544,5307,
"Concord - Mortlake - Cabarita",2818,3004,851,87,2637,9395,
"Drummoyne - Rodd Point",2103,2285,643,90,2597,7728,
"Five Dock - Abbotsford",2320,2674,849,98,3079,9018,
"Concord West - North Strathfield",1113,1779,446,61,1497,4895,
"Rhodes",1836,1067,317,99,2226,5546,
"Balmain",1931,1825,498,49,2723,7023,
"Lilyfield - Rozelle",1536,1704,469,55,2245,6000,
"Annandale (NSW)",1018,1061,275,39,1744,4134,
"Leichhardt",1792,2178,668,80,2665,7385,
"Canterbury (North) - Ashbury",1299,1475,497,74,1696,5050,
"Croydon Park - Enfield",1429,2328,755,96,2310,6922,
"Dulwich Hill - Lewisham",1992,1788,724,91,3720,8312,
"Haberfield - Summer Hill",1366,1660,478,63,2040,5605,
"Homebush",2170,2320,597,206,3467,8759,
"Strathfield South",303,546,153,17,394,1406,
"Ashfield - North",1253,1059,423,101,2416,5238,
"Ashfield - South",1366,1171,423,76,2314,5358,
"Burwood (NSW)",1741,1246,532,195,3397,7107,
"Croydon",1003,1416,453,53,1300,4233,
"Strathfield - East",1653,1359,388,232,3128,6768,
"Strathfield - West",770,1381,267,36,786,3241,
"Chatswood (West) - Lane Cove North",2193,2818,706,89,3216,9023,
"St Leonards - Naremburn",1608,1282,322,51,2496,5763,
"Artarmon",862,1324,326,50,1373,3943,
"Castle Cove - Northbridge",1208,2137,362,34,1049,4785,
"Chatswood - East",1970,2417,770,131,2821,8115,
"Greenwich - Riverview",1375,1807,333,29,1412,4958,
"Lane Cove",1704,2136,525,59,2183,6604,
"Willoughby",1065,1926,511,48,1275,4822,
"Asquith - Mount Colah",2028,3555,767,66,1777,8190,
"Berowra - Brooklyn - Cowan",1118,1878,385,19,898,4295,
"Normanhurst - Thornleigh - Westleigh",1645,3089,620,38,1428,6825,
"Hornsby - East",1282,1416,505,86,2167,5460,
"Hornsby - West",973,1588,402,43,1080,4087,
"Wahroonga (West) - Waitara",1076,1714,440,49,1526,4815,
"Gordon - Killara",2053,3431,879,71,2095,8532,
"Lindfield - Roseville",2199,3878,764,73,2165,9080,
"Pymble",1513,2883,511,29,1159,6096,
"St Ives",2106,3487,657,38,1591,7880,
"Turramurra",1962,3102,576,55,1766,7461,
"Wahroonga (East) - Warrawee",1686,2871,528,41,1346,6467,
"Cremorne - Cammeray",2404,2026,632,99,3737,8895,
"Crows Nest - Waverton",2607,1726,526,103,3888,8843,
"Neutral Bay - Kirribilli",2393,1275,495,82,4712,8960,
"North Sydney - Lavender Bay",2046,884,349,71,3219,6570,
"Mosman - North",1732,1596,413,50,2360,6144,
"Mosman - South",1648,1785,451,41,2290,6222,
"Balgowlah - Clontarf - Seaforth",1815,3246,622,52,1858,7589,
"Manly - Fairlight",3035,2309,568,58,4159,10123,
"Avalon - Palm Beach",1604,1663,399,17,1545,5238,
"Bayview - Elanora Heights",1262,1565,286,27,1256,4396,
"Newport - Bilgola",1668,1851,434,31,1494,5480,
"Mona Vale - Warriewood (North)",1579,1879,501,27,1763,5752,
"North Narrabeen - Warriewood (South)",906,1645,443,24,974,3992,
"Beacon Hill - Narraweena",1146,2179,561,47,1379,5310,
"Cromer",714,1212,249,19,797,2987,
"Forestville - Killarney Heights",999,2146,424,31,1078,4679,
"Freshwater - Brookvale",2423,2776,701,71,3089,9063,
"Manly Vale - Allambie Heights",1471,2630,553,42,1825,6523,
"Terrey Hills - Duffys Forest",397,557,85,6,317,1358,
"Belrose",782,1306,260,21,739,3104,
"Collaroy - Collaroy Plateau",1388,1925,475,46,1565,5406,
"Dee Why (South) - North Curl Curl",817,1273,330,28,1139,3579,
"Dee Why - North",2298,1855,779,96,3318,8355,
"Frenchs Forest - Oxford Falls",1400,2903,496,28,1015,5842,
"Narrabeen - Wheeler Heights",1291,1241,424,31,1975,4965,
"Camden - Ellis Lane",1310,1736,483,21,1416,4960,
"Currans Hill",450,964,352,18,500,2290,
"Elderslie - Narellan",1176,1991,681,44,1247,5134,
