"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Tweed Heads",861,1563,1399,1273,901,812,445,943,88,86,12201,20563,
"Banora Point",732,1116,1060,1008,917,839,354,718,86,55,9424,16320,
"Terranora - North Tumbulgum",233,358,256,199,196,145,73,128,20,9,1700,3324,
"Tweed Heads South",261,408,463,497,333,320,161,447,16,28,5481,8423,
"Griffith (NSW)",1320,1451,1374,1007,1112,924,702,2155,132,140,10267,20569,
"Griffith Surrounds",1739,607,754,505,724,378,616,974,61,73,6323,12760,
"Leeton",613,615,682,519,510,333,405,861,61,36,5689,10330,
"Narrandera",470,293,316,283,241,161,202,387,26,22,3497,5905,
"Tumbarumba",364,163,179,187,123,69,173,250,11,17,1986,3522,
"Tumut",278,417,445,380,270,255,288,486,21,21,3803,6667,
"Tumut Surrounds",467,245,284,189,227,111,236,351,28,32,2576,4744,
"Cootamundra",427,423,395,397,285,245,239,387,22,32,4846,7705,
"Gundagai",351,177,189,148,158,118,121,346,14,22,2064,3715,
"Junee",459,283,304,349,237,148,223,434,12,20,3874,6351,
"Temora",617,411,370,350,292,216,210,369,16,36,3722,6603,
"Wagga Wagga - East",1044,1700,1247,1098,1062,775,402,777,76,61,8688,16921,
"Wagga Wagga - North",270,694,406,485,291,265,152,328,18,22,2666,5605,
"Wagga Wagga - South",1077,2201,1571,1600,1300,1071,638,1137,110,85,11732,22522,
"Wagga Wagga - West",597,1282,754,825,560,507,289,666,54,43,6392,11962,
"Wagga Wagga Surrounds",1845,1453,1465,1225,848,615,562,793,65,109,8818,17788,
"Berry - Kangaroo Valley",725,956,547,396,395,268,141,324,46,30,5657,9489,
"Callala Bay - Currarong",190,295,228,190,151,130,67,167,8,4,2217,3642,
"Culburra Beach",261,372,307,300,231,143,114,226,14,10,3131,5105,
"Ettrema - Sassafras - Budawang",9,8,0,0,4,0,0,5,0,0,35,62,
"Huskisson - Vincentia",333,574,314,272,208,141,48,100,16,21,2813,4844,
"North Nowra - Bomaderry",791,1360,1037,1040,734,684,386,739,63,56,9189,16098,
"Nowra",874,1230,1462,1600,912,928,532,1046,72,68,13866,22584,
"St Georges Basin - Erowal Bay",532,765,956,925,627,515,294,689,49,49,9866,15259,
"Sussex Inlet - Berrara",164,204,288,221,184,114,89,168,12,7,3257,4694,
"Tomerong - Wandandian - Woollamia",250,311,322,195,208,145,101,172,17,15,1977,3708,
"Ulladulla",828,1151,1127,906,679,739,246,735,51,49,10521,17026,
"Ulladulla Surrounds",311,391,402,255,259,178,117,262,15,22,3610,5822,
"Bowral",1023,1589,613,523,621,478,166,329,44,36,8205,13626,
"Hill Top - Colo Vale",350,433,682,398,386,337,341,349,40,25,3058,6393,
"Mittagong",702,1101,843,648,533,446,245,531,39,35,5787,10931,
"Moss Vale - Berrima",672,932,852,515,537,422,320,573,48,30,5753,10648,
"Robertson - Fitzroy Falls",401,426,268,174,181,112,71,182,18,20,1983,3829,
"Southern Highlands",636,688,531,325,377,202,188,291,38,28,3945,7250,
"Baulkham Hills - East",1950,4138,1159,903,1764,838,383,551,96,79,12870,24726,
"Baulkham Hills (West) - Bella Vista",2001,3884,892,710,1739,811,307,418,113,68,10748,21683,
"Glenhaven",655,911,291,188,460,258,56,112,26,10,3402,6361,
"West Pennant Hills",1316,2425,418,346,923,480,108,207,63,24,6378,12683,
"Castle Hill - Central",662,1236,342,309,556,276,95,153,31,18,3992,7677,
"Castle Hill - East",452,778,127,148,343,162,45,77,22,7,3516,5670,
"Castle Hill - North",1219,1993,471,408,801,494,122,243,46,30,6363,12189,
"Castle Hill - South",909,1816,438,346,719,436,114,227,42,38,5323,10419,
"Castle Hill - West",562,948,175,172,432,228,73,97,20,27,2456,5183,
"Cherrybrook",1706,3546,637,637,1394,665,192,314,93,53,9837,19082,
"Kellyville - East",1658,2858,880,758,1361,810,263,443,86,72,8524,17709,
"Kellyville - West",1157,2008,396,370,877,448,161,220,60,41,5638,11375,
"Dural - Kenthurst - Wisemans Ferry",2339,2470,1656,765,1639,870,395,673,139,79,11453,22479,
"Galston - Laughtondale",560,649,345,227,334,209,75,155,18,11,2840,5436,
"Bilpin - Colo - St Albans",210,240,250,117,134,79,106,133,22,12,1542,2846,
"Kurrajong Heights - Ebenezer",1812,1857,2285,1154,1732,823,874,989,103,86,10448,22161,
"Pitt Town - McGraths Hill",970,816,1153,478,976,433,479,438,57,48,5563,11414,
"Box Hill - Nelson",888,1670,598,505,865,369,262,236,54,39,4796,10287,
"North Kellyville",1696,2896,870,660,1315,727,254,343,85,58,8506,17401,
"Rouse Hill - Beaumont Hills",1785,2822,897,849,1391,875,305,474,73,47,8059,17581,
"Blacktown (East) - Kings Park",665,1578,870,823,1026,587,1131,816,91,85,9359,17032,
"Blacktown (North) - Marayong",728,1783,973,950,1271,685,1192,863,119,105,11927,20584,
"Doonside - Woodcroft",929,2246,1059,1094,1578,707,1248,1010,143,109,13255,23384,
"Lalor Park - Kings Langley",1428,2786,1464,1100,1739,842,888,865,106,91,14049,25373,
"Blacktown - South",487,971,588,562,862,454,735,542,78,60,7308,12646,
"Blacktown - West",578,1413,839,761,1079,577,1060,776,94,81,9885,17141,
"Seven Hills - Prospect",727,1604,799,682,1053,495,727,572,93,59,8049,14866,
"Toongabbie - West",548,1465,537,460,755,328,484,441,50,49,6455,11578,
"Glenwood",1248,2572,699,711,1318,668,470,409,88,47,7605,15829,
"Acacia Gardens",267,563,192,188,341,175,124,117,20,10,1674,3668,
"Quakers Hill",1537,3278,1313,1208,1937,1047,959,829,153,96,12314,24670,
"Kellyville Ridge - The Ponds",1846,3395,900,892,1698,806,455,414,98,68,10487,21058,
"Marsden Park - Shanes Park",940,2338,696,656,1183,481,715,438,92,54,7937,15524,
"Riverstone",785,1575,897,664,977,505,550,536,65,49,7245,13844,
"Schofields (West) - Colebee",740,1690,462,415,814,322,339,289,60,48,4829,10011,
"Schofields - East",1804,4370,1125,1078,1854,839,806,654,131,99,12374,25130,
"Stanhope Gardens - Parklea",949,1952,514,464,943,442,297,278,53,48,7085,13034,
