sa2,Has arthritis,Does not have arthritis,Not stated
Turramurra,1634,17803,811
Wahroonga (East) - Warrawee,1251,16091,852
Cremorne - Cammeray,1152,16753,997
Crows Nest - Waverton,971,16061,889
Neutral Bay - Kirribilli,1086,14845,1254
North Sydney - Lavender Bay,597,10892,956
Mosman - North,1019,11918,826
Mosman - South,897,12905,771
Balgowlah - Clontarf - Seaforth,1158,18473,1099
Manly - Fairlight,1248,19748,1443
Avalon - Palm Beach,1031,11163,856
Bayview - Elanora Heights,1082,9392,771
Newport - Bilgola,1094,11787,798
Mona Vale - Warriewood (North),1341,12166,1129
North Narrabeen - Warriewood (South),653,9503,722
Beacon Hill - Narraweena,1063,12546,933
Cromer,632,6931,484
Forestville - Killarney Heights,916,11564,682
Freshwater - Brookvale,1156,19361,1310
Manly Vale - Allambie Heights,1060,15555,933
Terrey Hills - Duffys Forest,332,3229,222
Belrose,872,7386,388
Collaroy - Collaroy Plateau,906,12203,869
Dee Why (South) - North Curl Curl,506,8048,563
Dee Why - North,918,15864,1040
Frenchs Forest - Oxford Falls,1120,15256,798
Narrabeen - Wheeler Heights,1105,9398,743
Camden - Ellis Lane,1558,10852,893
Currans Hill,413,5644,389
Elderslie - Narellan,1225,11838,950
Harrington Park,739,9922,580
Mount Annan,1416,16465,1150
Spring Farm,428,8628,491
Bradbury - Wedderburn,1996,16194,1822
Campbelltown - Woodbine,1981,18129,1979
Claymore - Eagle Vale - Raby,1743,16725,1762
Holsworthy Military Area,0,5,0
Leumeah - Minto Heights,1750,13615,1361
Minto - St Andrews,1727,17839,1771
Rosemeadow - Glen Alpine,2208,17004,1946
Denham Court - Bardia,544,13580,747
Glenfield,774,9105,657
Ingleburn,1362,14063,1294
Macquarie Fields,1235,11526,1436
Bargo,675,4767,490
Douglas Park - Appin,966,9148,995
Picton - Tahmoor - Buxton,1956,15561,1471
The Oaks - Oakdale,851,8221,732
Blackheath - Megalong Valley,694,4600,477
Blaxland - Warrimoo - Lapstone,1774,16217,999
Blue Mountains - North,3,6,0
Katoomba - Leura,1539,10918,888
Lawson - Hazelbrook - Linden,1129,9663,659
Springwood - Winmalee,2317,18346,1296
Wentworth Falls,810,5128,493
Blue Mountains - South,0,4,0
Cambridge Park,1496,13139,1364
Emu Plains - Leonay,1349,11606,961
Glenmore Park - Regentville,1455,18398,1146
Jamisontown - South Penrith,1624,14399,1304
Kingswood - Werrington,1755,20508,2358
Mulgoa - Luddenham - Orchard Hills,747,10550,748
Penrith,1676,14140,2148
Warragamba - Silverdale,479,5126,418
