sa2,in_wslhd,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Mayfield - Warabrook,0,15522,3386,1152,7208,2928,4726,3744,53,2555,101,1816,931,1536,459,1164,7777,424,4210,0.2589080899220064,0.08808686343477595,0.5511546107967579,0.3767370046320124,0.6080802882141019,0.24940047961630696,0.0035305089261923796,0.17019717559285905,0.0068100600094396875,0.12244622749646011,0.06277391949295395,0.10356685321286495,0.030948688557750657,0.07848425595037421,0.5946627924759137,0.032420859458632816,0.32191466585104755
Menai - Lucas Heights - Woronora,0,20918,4504,1990,9007,4641,6310,5661,200,909,92,967,666,1267,582,2850,11094,350,5086,0.2665404189844952,0.11776541602556516,0.5330216593679725,0.4183342347214711,0.5687759149089598,0.2729639809055403,0.009643666522011669,0.043830464342543035,0.004454342984409799,0.04681901810787257,0.03224556986540138,0.06134404957877409,0.028178561053548948,0.13798779897356445,0.6565273996922713,0.020712510356255178,0.30098236477689666
Merewether - The Junction,0,14499,4876,1195,5000,4190,3664,3647,50,1895,61,1129,654,1055,381,1995,7946,270,3472,0.4039098740888005,0.09898939695162359,0.414181577203446,0.5271766482133871,0.46099647710115754,0.26068620443173696,0.0035739814152966403,0.13545389563974267,0.0044017895800259775,0.08146918747293982,0.04719295713667196,0.07612931158897387,0.027493144753932747,0.143960167412325,0.6582173624917164,0.022365805168986085,0.2876076872100729
Merimbula - Tura Beach,0,11512,1998,974,5849,1502,3238,3096,61,1704,82,1812,880,1050,292,605,4791,156,4487,0.1999399579705794,0.0974682277594316,0.5853097168017612,0.31350448758088084,0.6758505531204342,0.3018132189510626,0.0059465782803665435,0.1661142522908949,0.008115597783056216,0.17933491686460806,0.08709422011084719,0.10391923990498812,0.02889944576405384,0.05987727632620744,0.4794356049234464,0.015610927649354548,0.4490143100170119
Merrylands - Holroyd,1,23806,4391,1709,9242,2480,5268,4998,282,2254,249,2171,1184,1710,489,1216,7961,818,8254,0.23160504246004537,0.09014188512052324,0.48747296798354345,0.311401305876444,0.6614766449020593,0.21703070042120803,0.012245429675626383,0.097876590386035,0.011135957066189625,0.09709302325581395,0.05295169946332737,0.07647584973166369,0.021869409660107336,0.05438282647584973,0.419906113191624,0.04314573553457461,0.43536051479508414
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minto - St Andrews,0,21335,3592,1386,9394,2214,6228,4985,293,1264,108,1597,959,1725,588,1194,8680,609,6114,0.2187176520733118,0.08439383791024782,0.5720026791694575,0.2550985136536467,0.717594192879364,0.23649129465344657,0.013900090137103279,0.0599648939703022,0.0051933064050779,0.07679361415656857,0.04611463743027505,0.08294864396999423,0.02827466820542412,0.05741488747836122,0.528527065700542,0.03708214089995738,0.3722827741581928
Miranda - Yowie Bay,0,20709,4630,1931,8575,4191,5705,5402,132,2374,141,1773,968,1777,584,2252,10074,401,5862,0.2711090291603232,0.1130694460709685,0.5021079751727369,0.41618669314796425,0.5665342601787487,0.2682890489197914,0.006555748696299975,0.11790414700769804,0.007094339622641509,0.08920754716981132,0.04870440251572327,0.08940880503144655,0.029383647798742137,0.11330817610062893,0.5898817191708631,0.023480501229652184,0.34324862396065114
Mittagong,0,10929,2313,952,4719,1803,3246,2866,74,1228,74,1172,643,882,328,918,5137,179,3310,0.2571714476317545,0.10584834334000445,0.5246831220813876,0.35064177362893817,0.6312718786464411,0.27053048895601284,0.0069850858976779305,0.11591466868038512,0.007073893509224739,0.11203517828123506,0.06146639900583118,0.08431316317751648,0.03135455501386101,0.08775451677659879,0.5711585501445408,0.019902156993551256,0.368023126528797
Moama,0,6924,811,459,3738,972,1975,1888,25,709,45,892,412,527,160,423,3000,106,2241,0.14133844545137678,0.07999302892994074,0.6514464970372952,0.3250836120401338,0.6605351170568562,0.2885085574572127,0.003820293398533007,0.10834352078239609,0.006998444790046656,0.13872472783825818,0.0640746500777605,0.08195956454121306,0.024883359253499222,0.06578538102643856,0.5228302544440572,0.018473335657023353,0.3905542000697107
