sa2,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
Bayview - Elanora Heights,2855,136,899,160,481
Newport - Bilgola,3738,122,1087,150,367
Mona Vale - Warriewood (North),3769,107,1341,202,358
North Narrabeen - Warriewood (South),2820,101,635,120,148
Beacon Hill - Narraweena,3513,200,995,118,234
Cromer,2013,86,587,83,130
Forestville - Killarney Heights,3364,112,827,100,197
Freshwater - Brookvale,5728,119,2467,277,641
Manly Vale - Allambie Heights,4402,146,1436,120,345
Terrey Hills - Duffys Forest,944,49,204,38,71
Belrose,2208,80,592,35,167
Collaroy - Collaroy Plateau,3574,131,1170,156,311
Dee Why (South) - North Curl Curl,2298,70,856,119,214
Dee Why - North,4831,99,2765,229,655
Frenchs Forest - Oxford Falls,4465,174,687,72,162
Narrabeen - Wheeler Heights,2861,65,1614,190,381
Camden - Ellis Lane,3325,109,1079,133,249
Currans Hill,1654,63,358,48,59
Elderslie - Narellan,3649,118,899,133,141
Harrington Park,2747,151,337,57,51
Mount Annan,4836,216,849,125,147
Spring Farm,2636,48,416,55,78
Bradbury - Wedderburn,4792,236,1487,334,338
Campbelltown - Woodbine,5176,216,2560,452,702
Claymore - Eagle Vale - Raby,4921,269,1142,285,278
Holsworthy Military Area,0,0,0,0,0
Leumeah - Minto Heights,4073,203,1483,273,300
Minto - St Andrews,4985,293,1264,309,256
Rosemeadow - Glen Alpine,5248,267,1333,341,230
Denham Court - Bardia,3558,192,529,138,188
Glenfield,2532,117,577,115,150
Ingleburn,4026,229,1289,267,284
Macquarie Fields,3359,156,1111,309,221
Bargo,1465,87,427,83,99
Douglas Park - Appin,2691,153,483,147,149
Picton - Tahmoor - Buxton,4867,204,1469,250,415
The Oaks - Oakdale,2345,178,439,143,149
Blackheath - Megalong Valley,1574,12,1014,161,819
Blaxland - Warrimoo - Lapstone,5277,131,1342,122,294
Blue Mountains - North,0,0,5,0,0
Katoomba - Leura,3412,39,2583,313,1343
Lawson - Hazelbrook - Linden,3125,79,1225,124,344
Springwood - Winmalee,6024,140,1892,135,386
Wentworth Falls,1743,28,807,157,370
Blue Mountains - South,0,0,4,0,0
Cambridge Park,4106,187,1232,274,160
Emu Plains - Leonay,3741,102,1106,123,151
Glenmore Park - Regentville,5556,187,939,149,174
Jamisontown - South Penrith,4511,133,1770,251,366
Kingswood - Werrington,5763,210,2510,613,652
Mulgoa - Luddenham - Orchard Hills,2884,168,494,107,180
Penrith,4112,93,3628,596,991
Warragamba - Silverdale,1510,85,292,64,80
Cranebrook - Castlereagh,4253,204,1006,224,233
Jordan Springs - Llandilo,3345,152,525,113,167
Richmond - Clarendon,3737,126,1918,243,397
Windsor - Bligh Park,3848,145,1511,264,284
Yarramundi - Londonderry,1368,169,284,97,81
Erskine Park,1623,97,257,65,57
St Clair,5072,243,1005,239,181
Colyton - Oxley Park,3101,135,1035,305,215
St Marys - North St Marys,3833,158,2095,626,476
Rookwood Cemetery,4,0,0,0,0
Auburn - Central,3526,315,1410,436,465
Auburn - North,2036,122,1195,154,551
Auburn - South,1639,186,455,185,143
Berala,1885,121,687,130,219
Lidcombe,4687,352,1657,283,578
Regents Park,1080,74,453,80,149
Silverwater - Newington,2085,65,557,80,203
Wentworth Point - Sydney Olympic Park,5780,72,3468,537,1803
Ermington - Rydalmere,6035,258,2071,387,625
Oatlands - Dundas Valley,4492,224,1645,296,632
Carlingford - East,3015,141,654,81,270
Carlingford - West,4941,288,993,155,587
Chester Hill - Sefton,4134,289,1362,483,404
Fairfield - East,2977,271,1335,392,391
Granville - Clyde,4739,284,1982,566,924
Guildford - South Granville,4180,330,1625,699,631
Guildford West - Merrylands West,4788,274,1886,540,611
Smithfield Industrial,3,0,0,11,0
Yennora Industrial,0,0,3,0,0
Greystanes - South,4211,171,895,177,243
Merrylands - Holroyd,4998,282,2254,702,777
Pemulwuy - Greystanes (North),2714,112,542,119,154
South Wentworthville,1655,73,541,159,158
North Parramatta,5488,136,3332,609,1011
North Rocks,2224,95,422,65,105
Northmead,5246,93,2376,316,1167
Toongabbie - Constitution Hill,5530,267,1862,343,536
Winston Hills,2988,103,592,46,137
Pendle Hill - Girraween,3270,127,1016,266,376
Wentworthville - Westmead,5218,168,1777,522,836
Parramatta - North,2995,34,1894,339,920
Parramatta - South,2243,60,1213,199,531
Rosehill - Harris Park,2042,67,1275,234,556
Pennant Hills - Cheltenham,5729,207,1322,169,435
Epping (East) - North Epping,3807,130,1127,140,391
Epping (NSW) - West,4887,224,1320,153,542
Gladesville - Huntleys Point,4062,77,2029,185,558
Hunters Hill - Woolwich,2378,47,783,125,339
Macquarie Park - Marsfield,5807,126,3687,449,1483
North Ryde - East Ryde,4006,136,1364,210,341
West Ryde - Meadowbank,5208,160,2693,253,821
Putney,1085,51,210,38,87
Denistone,1807,91,371,43,108
Eastwood,4700,261,1629,243,546
Ryde - North,5082,165,2421,250,763
Ryde - South,3284,64,1535,194,492
Ashcroft - Busby - Miller,3615,247,1473,528,488
Austral - Greendale,2787,225,567,242,257
Badgerys Creek,9,0,0,0,0
Cecil Hills,1557,139,169,42,52
Green Valley,2851,273,427,130,101
Hinchinbrook,2910,243,346,112,86
Hoxton Park - Carnes Hill - Horningsea Park,3017,210,338,118,85
West Hoxton - Middleton Grange,3862,265,400,149,100
Cobbitty - Bringelly,1244,57,249,54,68
Gledswood Hills - Gregory Hills,3698,134,519,114,142
Leppington - Catherine Field,3006,210,563,122,228
Oran Park,4284,224,654,180,271
Bonnyrigg Heights - Bonnyrigg,3806,362,701,208,219
Bossley Park - Abbotsbury,4567,314,795,227,190
Cabramatta - Lansvale,5057,459,1865,388,668
Cabramatta West - Mount Pritchard,3710,418,1027,329,227
Canley Vale - Canley Heights,4469,506,1337,362,348
Edensor Park,2348,215,330,93,79
Fairfield,4146,232,1497,406,525
Fairfield - West,4459,418,979,310,303
Greenfield Park - Prairiewood,1987,184,375,94,101
Horsley Park - Kemps Creek,885,125,185,67,86
Smithfield - Wetherill Park,4404,306,1279,263,331
St Johns Park - Wakeley,2555,233,454,97,100
Wetherill Park Industrial,3,0,4,10,0
Casula,3826,223,936,206,294
Chipping Norton - Moorebank,5114,250,1108,245,283
Holsworthy - Wattle Grove,5258,190,918,162,215
Lurnea - Cartwright,2656,171,972,322,285
Warwick Farm,1330,39,995,245,350
Edmondson Park,2774,157,417,175,268
Liverpool - East,4145,103,2420,781,1191
Liverpool - West,2982,177,1149,338,405
Prestons,3481,253,413,115,111
Gymea - Grays Point,4957,111,1310,137,311
Miranda - Yowie Bay,5402,132,2374,291,574
