"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Lithgow Surrounds",0,2625,18,0,0,9,0,3910,530,191,14,0,128,75,57,7,15,0,0,3,0,16,29,0,40,8,0,31,10,0,9,13,5,0,0,0,11,5,0,688,8448,
"Mudgee",0,4214,33,0,0,17,0,5779,793,279,15,0,141,51,55,0,13,0,0,8,0,37,65,0,62,13,0,144,0,0,14,14,4,0,0,4,26,13,6,779,12563,
"Mudgee Surrounds - East",0,1143,10,0,0,0,0,1449,152,83,6,0,56,23,28,0,7,0,0,0,0,11,11,0,18,0,0,4,0,0,0,0,0,0,0,0,4,3,0,366,3398,
"Mudgee Surrounds - West",0,3769,15,0,0,9,0,4944,572,264,20,0,170,38,39,0,11,0,0,0,0,8,37,0,25,0,0,19,0,0,10,5,0,0,0,0,12,16,9,1069,11072,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",0,2644,7,6,0,3,0,3482,525,127,5,0,74,20,20,0,11,0,0,0,0,8,15,0,26,8,0,11,0,0,7,4,0,0,0,0,0,3,0,515,7517,
"Orange",0,6384,54,0,0,36,0,8131,1201,358,30,0,275,95,132,0,28,0,4,20,0,56,172,0,152,35,0,375,5,0,13,18,3,0,0,4,54,22,44,1309,19023,
"Orange - North",0,7540,53,4,0,70,0,9801,1329,432,12,0,404,153,145,3,69,4,5,42,0,91,184,0,268,57,0,760,7,0,25,34,6,0,0,22,117,37,65,1150,22895,
"Orange Surrounds",0,4151,25,0,0,3,0,5448,734,238,11,0,169,42,43,0,6,0,0,8,0,9,17,0,33,11,0,26,0,0,7,0,0,0,0,0,26,4,17,799,11830,
"Grafton",0,7382,22,3,0,23,0,8296,1023,377,22,0,154,22,46,0,7,0,0,7,0,32,95,0,84,10,0,158,10,0,8,8,0,0,0,10,21,14,15,1403,19255,
"Grafton Surrounds",0,5374,41,4,0,11,0,7361,889,392,38,0,162,30,60,0,3,0,0,0,0,24,50,0,36,4,0,60,0,0,13,12,0,0,0,0,18,15,4,2272,16875,
